▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 990ms
 GET / 200 in 47ms (compile: 3ms, proxy.ts: 5ms, render: 39ms)
 GET / 200 in 31ms (compile: 5ms, proxy.ts: 4ms, render: 22ms)
 GET / 200 in 26ms (compile: 3ms, proxy.ts: 4ms, render: 19ms)
 GET / 200 in 46ms (compile: 4ms, proxy.ts: 4ms, render: 37ms)
 GET / 200 in 45ms (compile: 3ms, proxy.ts: 5ms, render: 37ms)
 GET / 200 in 50ms (compile: 3ms, proxy.ts: 4ms, render: 43ms)
 GET / 200 in 51ms (compile: 4ms, proxy.ts: 6ms, render: 42ms)
 GET / 200 in 60ms (compile: 4ms, proxy.ts: 6ms, render: 51ms)
 GET / 200 in 52ms (compile: 3ms, proxy.ts: 7ms, render: 43ms)
 GET / 200 in 29ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 GET / 200 in 30ms (compile: 5ms, proxy.ts: 4ms, render: 21ms)
 GET / 200 in 48ms (compile: 5ms, proxy.ts: 5ms, render: 38ms)
 GET / 200 in 32ms (compile: 3ms, proxy.ts: 4ms, render: 25ms)
 GET / 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET / 200 in 43ms (compile: 3ms, proxy.ts: 4ms, render: 36ms)
 GET / 200 in 48ms (compile: 3ms, proxy.ts: 4ms, render: 41ms)
 GET / 200 in 50ms (compile: 3ms, proxy.ts: 5ms, render: 42ms)
 GET / 200 in 49ms (compile: 3ms, proxy.ts: 5ms, render: 41ms)
 GET / 200 in 57ms (compile: 3ms, proxy.ts: 6ms, render: 48ms)
 GET / 200 in 54ms (compile: 4ms, proxy.ts: 4ms, render: 46ms)
 GET / 200 in 53ms (compile: 3ms, proxy.ts: 5ms, render: 45ms)
 GET / 200 in 37ms (compile: 3ms, proxy.ts: 12ms, render: 21ms)
 GET / 200 in 31ms (compile: 3ms, proxy.ts: 4ms, render: 24ms)
 GET / 200 in 57ms (compile: 4ms, proxy.ts: 6ms, render: 47ms)
 GET / 200 in 29ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 GET / 200 in 28ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 GET / 200 in 50ms (compile: 4ms, proxy.ts: 4ms, render: 41ms)
 GET / 200 in 55ms (compile: 4ms, proxy.ts: 6ms, render: 45ms)
 GET / 200 in 52ms (compile: 6ms, proxy.ts: 4ms, render: 42ms)
 GET / 200 in 49ms (compile: 3ms, proxy.ts: 4ms, render: 42ms)
 GET / 200 in 47ms (compile: 4ms, proxy.ts: 5ms, render: 39ms)
 GET / 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 GET / 200 in 31ms (compile: 5ms, proxy.ts: 4ms, render: 22ms)
 GET / 200 in 49ms (compile: 3ms, proxy.ts: 7ms, render: 39ms)
 GET / 200 in 50ms (compile: 3ms, proxy.ts: 4ms, render: 43ms)
 GET / 200 in 49ms (compile: 3ms, proxy.ts: 6ms, render: 40ms)
 GET / 200 in 32ms (compile: 3ms, proxy.ts: 6ms, render: 22ms)
 GET / 200 in 31ms (compile: 3ms, proxy.ts: 6ms, render: 22ms)
 GET / 200 in 66ms (compile: 4ms, proxy.ts: 4ms, render: 58ms)
 GET / 200 in 49ms (compile: 5ms, proxy.ts: 4ms, render: 40ms)
 GET / 200 in 41ms (compile: 3ms, proxy.ts: 4ms, render: 35ms)
 GET / 200 in 30ms (compile: 4ms, proxy.ts: 4ms, render: 22ms)
 GET / 200 in 27ms (compile: 4ms, proxy.ts: 5ms, render: 18ms)
 GET / 200 in 30ms (compile: 3ms, proxy.ts: 4ms, render: 22ms)
 GET / 200 in 47ms (compile: 4ms, proxy.ts: 5ms, render: 38ms)
 GET / 200 in 50ms (compile: 3ms, proxy.ts: 4ms, render: 42ms)
 GET / 200 in 49ms (compile: 4ms, proxy.ts: 5ms, render: 40ms)
 GET / 200 in 31ms (compile: 3ms, proxy.ts: 6ms, render: 22ms)
 GET / 200 in 49ms (compile: 5ms, proxy.ts: 4ms, render: 39ms)
 GET / 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 22ms)
 GET / 200 in 48ms (compile: 5ms, proxy.ts: 5ms, render: 38ms)
 GET / 200 in 49ms (compile: 3ms, proxy.ts: 6ms, render: 41ms)
 GET / 200 in 47ms (compile: 4ms, proxy.ts: 4ms, render: 39ms)
 GET / 200 in 58ms (compile: 3ms, proxy.ts: 7ms, render: 49ms)
 GET / 200 in 50ms (compile: 4ms, proxy.ts: 5ms, render: 41ms)
 GET / 200 in 55ms (compile: 3ms, proxy.ts: 6ms, render: 46ms)
 GET / 200 in 35ms (compile: 3ms, proxy.ts: 5ms, render: 27ms)
 GET / 200 in 49ms (compile: 4ms, proxy.ts: 6ms, render: 39ms)
 GET / 200 in 53ms (compile: 3ms, proxy.ts: 4ms, render: 46ms)
 GET / 200 in 54ms (compile: 3ms, proxy.ts: 8ms, render: 43ms)
 GET / 200 in 50ms (compile: 3ms, proxy.ts: 5ms, render: 42ms)
 GET / 200 in 28ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 GET / 200 in 31ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET / 200 in 30ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET / 200 in 54ms (compile: 4ms, proxy.ts: 4ms, render: 45ms)
 GET / 200 in 50ms (compile: 3ms, proxy.ts: 5ms, render: 42ms)
 GET / 200 in 47ms (compile: 4ms, proxy.ts: 5ms, render: 37ms)
 GET / 200 in 53ms (compile: 3ms, proxy.ts: 5ms, render: 45ms)
 GET / 200 in 51ms (compile: 3ms, proxy.ts: 4ms, render: 44ms)
 GET / 200 in 46ms (compile: 3ms, proxy.ts: 4ms, render: 39ms)
 GET / 200 in 30ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET / 200 in 29ms (compile: 3ms, proxy.ts: 5ms, render: 21ms)
 GET / 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET / 200 in 48ms (compile: 3ms, proxy.ts: 5ms, render: 40ms)
 GET / 200 in 48ms (compile: 3ms, proxy.ts: 4ms, render: 40ms)
 GET / 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET / 200 in 46ms (compile: 3ms, proxy.ts: 5ms, render: 38ms)
 GET / 200 in 52ms (compile: 5ms, proxy.ts: 5ms, render: 43ms)
 GET / 200 in 53ms (compile: 6ms, proxy.ts: 5ms, render: 42ms)
 GET / 200 in 31ms (compile: 3ms, proxy.ts: 6ms, render: 22ms)
 GET / 200 in 33ms (compile: 4ms, proxy.ts: 4ms, render: 26ms)
 GET / 200 in 47ms (compile: 5ms, proxy.ts: 7ms, render: 35ms)
 GET / 200 in 29ms (compile: 3ms, proxy.ts: 4ms, render: 22ms)
 GET / 200 in 37ms (compile: 5ms, proxy.ts: 4ms, render: 28ms)
 GET / 200 in 48ms (compile: 6ms, proxy.ts: 4ms, render: 38ms)
 GET / 200 in 49ms (compile: 3ms, proxy.ts: 4ms, render: 43ms)
 GET / 200 in 33ms (compile: 3ms, proxy.ts: 3ms, render: 27ms)
 GET / 200 in 26ms (compile: 2ms, proxy.ts: 6ms, render: 18ms)
 GET / 200 in 49ms (compile: 3ms, proxy.ts: 4ms, render: 42ms)
 GET / 200 in 44ms (compile: 3ms, proxy.ts: 6ms, render: 35ms)
 GET / 200 in 25ms (compile: 2ms, proxy.ts: 3ms, render: 20ms)
 GET / 200 in 43ms (compile: 4ms, proxy.ts: 5ms, render: 35ms)
 GET / 200 in 45ms (compile: 4ms, proxy.ts: 7ms, render: 34ms)
 GET / 200 in 45ms (compile: 3ms, proxy.ts: 4ms, render: 38ms)
 GET / 200 in 47ms (compile: 3ms, proxy.ts: 4ms, render: 40ms)
 GET / 200 in 43ms (compile: 3ms, proxy.ts: 5ms, render: 34ms)
 GET / 200 in 43ms (compile: 3ms, proxy.ts: 5ms, render: 36ms)
 GET / 200 in 56ms (compile: 4ms, proxy.ts: 4ms, render: 48ms)
 GET / 200 in 130ms (compile: 5ms, proxy.ts: 5ms, render: 120ms)
 GET / 200 in 120ms (compile: 4ms, proxy.ts: 6ms, render: 109ms)
 GET / 200 in 52ms (compile: 5ms, proxy.ts: 6ms, render: 40ms)
 GET / 200 in 50ms (compile: 3ms, proxy.ts: 6ms, render: 41ms)
 GET / 200 in 50ms (compile: 1933µs, proxy.ts: 4ms, render: 44ms)
 GET / 200 in 50ms (compile: 3ms, proxy.ts: 9ms, render: 37ms)
 GET /api/health 200 in 225ms (compile: 68ms, proxy.ts: 7ms, render: 150ms)
 GET / 200 in 60ms (compile: 3ms, proxy.ts: 4ms, render: 53ms)
 GET / 200 in 62ms (compile: 5ms, proxy.ts: 13ms, render: 44ms)
 GET / 200 in 48ms (compile: 3ms, proxy.ts: 6ms, render: 39ms)
 GET / 200 in 49ms (compile: 3ms, proxy.ts: 5ms, render: 41ms)
 GET / 200 in 30ms (compile: 4ms, proxy.ts: 4ms, render: 22ms)
 GET / 200 in 40ms (compile: 3ms, proxy.ts: 4ms, render: 34ms)
 GET / 200 in 32ms (compile: 3ms, proxy.ts: 4ms, render: 25ms)
 GET / 200 in 58ms (compile: 4ms, proxy.ts: 7ms, render: 47ms)
 GET / 200 in 50ms (compile: 4ms, proxy.ts: 5ms, render: 41ms)
 GET / 200 in 30ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET / 200 in 30ms (compile: 3ms, proxy.ts: 6ms, render: 20ms)
 GET / 200 in 32ms (compile: 3ms, proxy.ts: 4ms, render: 24ms)
 GET / 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET / 200 in 28ms (compile: 3ms, proxy.ts: 4ms, render: 20ms)
 GET / 200 in 47ms (compile: 4ms, proxy.ts: 4ms, render: 39ms)
 GET / 200 in 30ms (compile: 3ms, proxy.ts: 6ms, render: 20ms)
 GET / 200 in 45ms (compile: 4ms, proxy.ts: 4ms, render: 37ms)
 GET / 200 in 29ms (compile: 3ms, proxy.ts: 6ms, render: 21ms)
 GET / 200 in 49ms (compile: 3ms, proxy.ts: 4ms, render: 42ms)
 GET / 200 in 48ms (compile: 4ms, proxy.ts: 4ms, render: 39ms)
 GET / 200 in 48ms (compile: 3ms, proxy.ts: 5ms, render: 40ms)
 GET / 200 in 59ms (compile: 4ms, proxy.ts: 5ms, render: 50ms)
 GET / 200 in 50ms (compile: 4ms, proxy.ts: 5ms, render: 41ms)
 GET / 200 in 51ms (compile: 3ms, proxy.ts: 4ms, render: 44ms)
 GET / 200 in 50ms (compile: 4ms, proxy.ts: 7ms, render: 39ms)
 GET / 200 in 46ms (compile: 3ms, proxy.ts: 4ms, render: 39ms)
 GET / 200 in 51ms (compile: 4ms, proxy.ts: 5ms, render: 42ms)
 GET / 200 in 57ms (compile: 4ms, proxy.ts: 4ms, render: 49ms)
✓ Compiled in 1ms
 GET / 200 in 89ms (compile: 4ms, proxy.ts: 7ms, render: 79ms)
 GET / 200 in 213ms (compile: 119ms, proxy.ts: 54ms, render: 41ms)
 GET / 200 in 51ms (compile: 3ms, proxy.ts: 5ms, render: 42ms)
 GET / 200 in 34ms (compile: 3ms, proxy.ts: 5ms, render: 27ms)
 GET / 200 in 59ms (compile: 4ms, proxy.ts: 6ms, render: 49ms)
 GET / 200 in 56ms (compile: 5ms, proxy.ts: 6ms, render: 44ms)
 GET / 200 in 59ms (compile: 3ms, proxy.ts: 6ms, render: 49ms)
 GET / 200 in 58ms (compile: 3ms, proxy.ts: 5ms, render: 50ms)
 GET / 200 in 52ms (compile: 3ms, proxy.ts: 6ms, render: 43ms)
 GET / 200 in 47ms (compile: 4ms, proxy.ts: 5ms, render: 38ms)
 GET / 200 in 28ms (compile: 2ms, proxy.ts: 5ms, render: 20ms)
 GET / 200 in 32ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET / 200 in 30ms (compile: 3ms, proxy.ts: 6ms, render: 21ms)
 GET / 200 in 34ms (compile: 4ms, proxy.ts: 4ms, render: 26ms)
 GET / 200 in 34ms (compile: 4ms, proxy.ts: 6ms, render: 24ms)
 GET / 200 in 34ms (compile: 5ms, proxy.ts: 7ms, render: 22ms)
 GET / 200 in 50ms (compile: 3ms, proxy.ts: 5ms, render: 41ms)
 GET / 200 in 52ms (compile: 3ms, proxy.ts: 7ms, render: 42ms)
