▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1003ms
 GET /login 200 in 98ms (compile: 8ms, proxy.ts: 20ms, render: 69ms)
 GET /test-badge-grid 200 in 117ms (compile: 7ms, proxy.ts: 24ms, render: 86ms)
 GET /login 200 in 106ms (compile: 9ms, proxy.ts: 21ms, render: 76ms)
 GET /test-badge-grid 200 in 110ms (compile: 6ms, proxy.ts: 24ms, render: 80ms)
 GET /login 200 in 117ms (compile: 10ms, proxy.ts: 20ms, render: 86ms)
 GET /test-badge-grid 200 in 125ms (compile: 10ms, proxy.ts: 29ms, render: 86ms)
 GET /login 200 in 116ms (compile: 11ms, proxy.ts: 24ms, render: 81ms)
 GET /test-badge-grid 200 in 114ms (compile: 8ms, proxy.ts: 29ms, render: 76ms)
 GET /login 200 in 111ms (compile: 11ms, proxy.ts: 29ms, render: 71ms)
 GET /test-badge-grid 200 in 87ms (compile: 22ms, proxy.ts: 8ms, render: 57ms)
 GET /login 200 in 82ms (compile: 4ms, proxy.ts: 28ms, render: 50ms)
 GET /test-badge-grid 200 in 74ms (compile: 16ms, proxy.ts: 5ms, render: 52ms)
 GET /login 200 in 87ms (compile: 5ms, proxy.ts: 19ms, render: 64ms)
 GET /test-badge-grid 200 in 79ms (compile: 16ms, proxy.ts: 7ms, render: 55ms)
 GET /login 200 in 89ms (compile: 4ms, proxy.ts: 17ms, render: 68ms)
 GET /test-badge-grid 200 in 77ms (compile: 3ms, proxy.ts: 18ms, render: 56ms)
 GET /login 200 in 88ms (compile: 7ms, proxy.ts: 22ms, render: 59ms)
 GET /test-badge-grid 200 in 77ms (compile: 16ms, proxy.ts: 7ms, render: 54ms)
 GET /login 200 in 75ms (compile: 6ms, proxy.ts: 17ms, render: 52ms)
 GET /test-badge-grid 200 in 79ms (compile: 7ms, proxy.ts: 18ms, render: 54ms)
 GET /login 200 in 77ms (compile: 4ms, proxy.ts: 21ms, render: 51ms)
 GET /test-badge-grid 200 in 74ms (compile: 5ms, proxy.ts: 16ms, render: 53ms)
 GET /login 200 in 83ms (compile: 4ms, proxy.ts: 19ms, render: 60ms)
 GET /test-badge-grid 200 in 81ms (compile: 5ms, proxy.ts: 16ms, render: 60ms)
 GET /login 200 in 82ms (compile: 3ms, proxy.ts: 19ms, render: 59ms)
 GET /test-badge-grid 200 in 80ms (compile: 12ms, proxy.ts: 16ms, render: 51ms)
 GET /login 200 in 73ms (compile: 4ms, proxy.ts: 18ms, render: 51ms)
 GET /test-badge-grid 200 in 73ms (compile: 4ms, proxy.ts: 18ms, render: 51ms)
 GET /login 200 in 72ms (compile: 5ms, proxy.ts: 17ms, render: 50ms)
 GET /test-badge-grid 200 in 82ms (compile: 3ms, proxy.ts: 17ms, render: 62ms)
 GET /login 200 in 97ms (compile: 5ms, proxy.ts: 17ms, render: 76ms)
 GET /test-badge-grid 200 in 107ms (compile: 6ms, proxy.ts: 17ms, render: 84ms)
 GET /login 200 in 113ms (compile: 8ms, proxy.ts: 27ms, render: 78ms)
 GET /test-badge-grid 200 in 106ms (compile: 7ms, proxy.ts: 26ms, render: 73ms)
 GET /login 200 in 104ms (compile: 9ms, proxy.ts: 24ms, render: 71ms)
 GET /test-badge-grid 200 in 109ms (compile: 9ms, proxy.ts: 24ms, render: 76ms)
 GET /login 200 in 109ms (compile: 8ms, proxy.ts: 21ms, render: 80ms)
 GET /test-badge-grid 200 in 136ms (compile: 6ms, proxy.ts: 28ms, render: 103ms)
 GET /login 200 in 121ms (compile: 9ms, proxy.ts: 29ms, render: 83ms)
 GET /test-badge-grid 200 in 115ms (compile: 11ms, proxy.ts: 23ms, render: 81ms)
 GET /login 200 in 110ms (compile: 13ms, proxy.ts: 29ms, render: 69ms)
 GET /test-badge-grid 200 in 101ms (compile: 6ms, proxy.ts: 29ms, render: 66ms)
 GET /login 200 in 97ms (compile: 6ms, proxy.ts: 25ms, render: 66ms)
 GET /test-badge-grid 200 in 93ms (compile: 4ms, proxy.ts: 22ms, render: 66ms)
 GET /login 200 in 93ms (compile: 5ms, proxy.ts: 21ms, render: 67ms)
 GET /test-badge-grid 200 in 96ms (compile: 7ms, proxy.ts: 24ms, render: 66ms)
 GET /login 200 in 97ms (compile: 5ms, proxy.ts: 23ms, render: 69ms)
 GET /test-badge-grid 200 in 97ms (compile: 8ms, proxy.ts: 20ms, render: 69ms)
 GET /login 200 in 102ms (compile: 6ms, proxy.ts: 24ms, render: 72ms)
 GET /test-badge-grid 200 in 101ms (compile: 8ms, proxy.ts: 22ms, render: 71ms)
 GET /login 200 in 104ms (compile: 6ms, proxy.ts: 24ms, render: 74ms)
 GET /test-badge-grid 200 in 127ms (compile: 10ms, proxy.ts: 25ms, render: 92ms)
 GET /login 200 in 111ms (compile: 23ms, proxy.ts: 7ms, render: 82ms)
 GET /test-badge-grid 200 in 149ms (compile: 10ms, proxy.ts: 28ms, render: 111ms)
 GET /login 200 in 134ms (compile: 26ms, proxy.ts: 14ms, render: 94ms)
 GET /test-badge-grid 200 in 118ms (compile: 13ms, proxy.ts: 11ms, render: 94ms)
 GET /login 200 in 119ms (compile: 39ms, proxy.ts: 17ms, render: 63ms)
 GET /test-badge-grid 200 in 108ms (compile: 6ms, proxy.ts: 24ms, render: 78ms)
 GET /login 200 in 90ms (compile: 17ms, proxy.ts: 7ms, render: 66ms)
 GET /test-badge-grid 200 in 93ms (compile: 9ms, proxy.ts: 9ms, render: 75ms)
 GET /login 200 in 97ms (compile: 20ms, proxy.ts: 12ms, render: 66ms)
 GET /test-badge-grid 200 in 74ms (compile: 4ms, proxy.ts: 8ms, render: 62ms)
 GET /login 200 in 85ms (compile: 24ms, proxy.ts: 6ms, render: 55ms)
 GET /test-badge-grid 200 in 91ms (compile: 3ms, proxy.ts: 26ms, render: 63ms)
 GET /login 200 in 89ms (compile: 6ms, proxy.ts: 20ms, render: 63ms)
 GET /test-badge-grid 200 in 96ms (compile: 5ms, proxy.ts: 24ms, render: 67ms)
 GET /login 200 in 93ms (compile: 4ms, proxy.ts: 21ms, render: 67ms)
 GET /test-badge-grid 200 in 94ms (compile: 9ms, proxy.ts: 20ms, render: 65ms)
 GET /login 200 in 109ms (compile: 8ms, proxy.ts: 25ms, render: 77ms)
 GET /test-badge-grid 200 in 117ms (compile: 5ms, proxy.ts: 21ms, render: 91ms)
 GET /login 200 in 102ms (compile: 8ms, proxy.ts: 20ms, render: 74ms)
 GET /test-badge-grid 200 in 107ms (compile: 11ms, proxy.ts: 30ms, render: 66ms)
 GET /login 200 in 95ms (compile: 6ms, proxy.ts: 21ms, render: 68ms)
 GET /test-badge-grid 200 in 93ms (compile: 5ms, proxy.ts: 22ms, render: 65ms)
 GET /login 200 in 96ms (compile: 6ms, proxy.ts: 25ms, render: 65ms)
 GET /test-badge-grid 200 in 91ms (compile: 4ms, proxy.ts: 23ms, render: 64ms)
 GET /login 200 in 97ms (compile: 8ms, proxy.ts: 20ms, render: 69ms)
 GET /test-badge-grid 200 in 95ms (compile: 7ms, proxy.ts: 22ms, render: 66ms)
 GET /login 200 in 92ms (compile: 7ms, proxy.ts: 20ms, render: 65ms)
 GET /test-badge-grid 200 in 96ms (compile: 8ms, proxy.ts: 24ms, render: 64ms)
 GET /login 200 in 91ms (compile: 5ms, proxy.ts: 21ms, render: 65ms)
 GET /test-badge-grid 200 in 100ms (compile: 8ms, proxy.ts: 22ms, render: 70ms)
 GET /login 200 in 108ms (compile: 5ms, proxy.ts: 24ms, render: 80ms)
 GET /test-badge-grid 200 in 120ms (compile: 5ms, proxy.ts: 20ms, render: 94ms)
 GET /login 200 in 120ms (compile: 14ms, proxy.ts: 23ms, render: 83ms)
 GET /test-badge-grid 200 in 118ms (compile: 6ms, proxy.ts: 32ms, render: 80ms)
