
> fin@0.2.0 dev
> next dev --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 948ms
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 3ms, render: 24ms)
 GET /login 200 in 37ms (compile: 4ms, proxy.ts: 6ms, render: 26ms)
 GET /login 200 in 29ms (compile: 5ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 32ms (compile: 3ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 22ms)
 GET /login 200 in 37ms (compile: 4ms, proxy.ts: 4ms, render: 29ms)
 GET /login 200 in 59ms (compile: 4ms, proxy.ts: 10ms, render: 45ms)
 GET /login 200 in 40ms (compile: 3ms, proxy.ts: 6ms, render: 31ms)
 GET /login 200 in 181ms (compile: 154ms, proxy.ts: 7ms, render: 21ms)
 GET /login 200 in 25ms (compile: 3ms, proxy.ts: 5ms, render: 17ms)
 GET /login 200 in 25ms (compile: 2ms, proxy.ts: 4ms, render: 18ms)
 GET /login 200 in 43ms (compile: 3ms, proxy.ts: 3ms, render: 37ms)
 GET /login 200 in 30ms (compile: 3ms, proxy.ts: 9ms, render: 18ms)
 GET /login 200 in 25ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /login 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /login 200 in 28ms (compile: 9ms, proxy.ts: 3ms, render: 16ms)
 GET /login 200 in 28ms (compile: 4ms, proxy.ts: 6ms, render: 18ms)
 GET /login 200 in 22ms (compile: 3ms, proxy.ts: 4ms, render: 15ms)
 GET /login 200 in 31ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET /login 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /login 200 in 24ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /login 200 in 27ms (compile: 4ms, proxy.ts: 3ms, render: 20ms)
 GET /login 200 in 23ms (compile: 4ms, proxy.ts: 5ms, render: 14ms)
 GET /login 200 in 24ms (compile: 3ms, proxy.ts: 6ms, render: 16ms)
 GET /login 200 in 19ms (compile: 2ms, proxy.ts: 3ms, render: 14ms)
 GET /login 200 in 21ms (compile: 2ms, proxy.ts: 3ms, render: 15ms)
 GET /login 200 in 21ms (compile: 3ms, proxy.ts: 3ms, render: 16ms)
 GET /login 200 in 22ms (compile: 3ms, proxy.ts: 3ms, render: 16ms)
 GET /login 200 in 29ms (compile: 3ms, proxy.ts: 3ms, render: 23ms)
 GET /login 200 in 28ms (compile: 3ms, proxy.ts: 6ms, render: 18ms)
 GET /login 200 in 21ms (compile: 3ms, proxy.ts: 4ms, render: 14ms)
 GET /login 200 in 26ms (compile: 2ms, proxy.ts: 3ms, render: 20ms)
 GET /login 200 in 38ms (compile: 7ms, proxy.ts: 6ms, render: 24ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 4ms, render: 25ms)
 GET /login 200 in 56ms (compile: 4ms, proxy.ts: 7ms, render: 45ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 3ms, render: 24ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 6ms, render: 20ms)
 GET /login 200 in 27ms (compile: 3ms, proxy.ts: 4ms, render: 20ms)
 GET /login 200 in 28ms (compile: 5ms, proxy.ts: 4ms, render: 19ms)
 GET /login 200 in 28ms (compile: 3ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 4ms, render: 24ms)
 GET /login 200 in 32ms (compile: 6ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 23ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /login 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 48ms (compile: 3ms, proxy.ts: 6ms, render: 39ms)
 GET /login 200 in 30ms (compile: 3ms, proxy.ts: 4ms, render: 23ms)
 GET /login 200 in 29ms (compile: 4ms, proxy.ts: 5ms, render: 20ms)
 GET /login 200 in 25ms (compile: 3ms, proxy.ts: 4ms, render: 17ms)
 GET /login 200 in 28ms (compile: 4ms, proxy.ts: 3ms, render: 20ms)
 GET /login 200 in 55ms (compile: 10ms, proxy.ts: 6ms, render: 39ms)
 GET /login 200 in 46ms (compile: 4ms, proxy.ts: 4ms, render: 38ms)
 GET /login 200 in 23ms (compile: 3ms, proxy.ts: 4ms, render: 16ms)
 GET /login 200 in 21ms (compile: 3ms, proxy.ts: 3ms, render: 15ms)
 GET /login 200 in 22ms (compile: 3ms, proxy.ts: 3ms, render: 16ms)
 GET /login 200 in 23ms (compile: 3ms, proxy.ts: 3ms, render: 18ms)
 GET /login 200 in 24ms (compile: 5ms, proxy.ts: 4ms, render: 15ms)
 GET /login 200 in 24ms (compile: 4ms, proxy.ts: 3ms, render: 17ms)
 GET /login 200 in 26ms (compile: 5ms, proxy.ts: 5ms, render: 17ms)
 GET /login 200 in 25ms (compile: 4ms, proxy.ts: 4ms, render: 17ms)
 GET /login 200 in 22ms (compile: 2ms, proxy.ts: 4ms, render: 16ms)
 GET /login 200 in 20ms (compile: 2ms, proxy.ts: 3ms, render: 15ms)
 GET /login 200 in 21ms (compile: 3ms, proxy.ts: 3ms, render: 16ms)
 GET /login 200 in 26ms (compile: 3ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 25ms (compile: 5ms, proxy.ts: 4ms, render: 16ms)
 GET /login 200 in 30ms (compile: 3ms, proxy.ts: 5ms, render: 23ms)
 GET /login 200 in 22ms (compile: 3ms, proxy.ts: 3ms, render: 16ms)
 GET /login 200 in 35ms (compile: 3ms, proxy.ts: 3ms, render: 29ms)
 GET /login 200 in 39ms (compile: 3ms, proxy.ts: 3ms, render: 33ms)
 GET /login 200 in 24ms (compile: 2ms, proxy.ts: 4ms, render: 17ms)
 GET /login 200 in 22ms (compile: 2ms, proxy.ts: 4ms, render: 16ms)
 GET /login 200 in 32ms (compile: 2ms, proxy.ts: 3ms, render: 26ms)
 GET /login 200 in 24ms (compile: 4ms, proxy.ts: 4ms, render: 16ms)
 GET /login 200 in 25ms (compile: 3ms, proxy.ts: 5ms, render: 17ms)
 GET /login 200 in 25ms (compile: 3ms, proxy.ts: 5ms, render: 17ms)
 GET /login 200 in 37ms (compile: 4ms, proxy.ts: 4ms, render: 30ms)
 GET /login 200 in 26ms (compile: 2ms, proxy.ts: 3ms, render: 21ms)
 GET /login 200 in 47ms (compile: 7ms, proxy.ts: 4ms, render: 36ms)
 GET /login 200 in 31ms (compile: 3ms, proxy.ts: 6ms, render: 23ms)
 GET /login 200 in 25ms (compile: 5ms, proxy.ts: 5ms, render: 16ms)
 GET /login 200 in 29ms (compile: 3ms, proxy.ts: 6ms, render: 20ms)
 GET /login 200 in 56ms (compile: 4ms, proxy.ts: 4ms, render: 47ms)
