▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3130
- Network:       http://192.168.86.37:3130
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1089ms
 GET /login 200 in 41ms (compile: 6ms, proxy.ts: 8ms, render: 27ms)
 GET /login 200 in 37ms (compile: 5ms, proxy.ts: 5ms, render: 26ms)
 GET /login 200 in 36ms (compile: 5ms, proxy.ts: 6ms, render: 26ms)
 GET /login 200 in 37ms (compile: 5ms, proxy.ts: 6ms, render: 26ms)
 GET /login 200 in 55ms (compile: 5ms, proxy.ts: 5ms, render: 44ms)
 GET /login 200 in 36ms (compile: 4ms, proxy.ts: 5ms, render: 27ms)
 GET /login 200 in 61ms (compile: 5ms, proxy.ts: 5ms, render: 51ms)
 GET /login 200 in 36ms (compile: 4ms, proxy.ts: 5ms, render: 26ms)
 GET /login 200 in 35ms (compile: 5ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 51ms (compile: 4ms, proxy.ts: 5ms, render: 41ms)
 GET /login 200 in 33ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
 GET /login 200 in 61ms (compile: 4ms, proxy.ts: 5ms, render: 52ms)
 GET /login 200 in 73ms (compile: 5ms, proxy.ts: 8ms, render: 60ms)
 GET /login 200 in 69ms (compile: 15ms, proxy.ts: 8ms, render: 47ms)
 GET /login 200 in 41ms (compile: 4ms, proxy.ts: 6ms, render: 31ms)
 GET /login 200 in 60ms (compile: 7ms, proxy.ts: 7ms, render: 47ms)
 GET /login 200 in 59ms (compile: 4ms, proxy.ts: 6ms, render: 49ms)
 GET /login 200 in 37ms (compile: 4ms, proxy.ts: 6ms, render: 27ms)
 GET /login 200 in 34ms (compile: 5ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 36ms (compile: 6ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 53ms (compile: 5ms, proxy.ts: 5ms, render: 43ms)
 GET /login 200 in 36ms (compile: 4ms, proxy.ts: 5ms, render: 27ms)
 GET /login 200 in 64ms (compile: 5ms, proxy.ts: 6ms, render: 53ms)
 GET /login 200 in 33ms (compile: 5ms, proxy.ts: 4ms, render: 24ms)
 GET /login 200 in 34ms (compile: 4ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 53ms (compile: 4ms, proxy.ts: 5ms, render: 44ms)
 GET /login 200 in 52ms (compile: 4ms, proxy.ts: 5ms, render: 42ms)
 GET /login 200 in 55ms (compile: 4ms, proxy.ts: 5ms, render: 46ms)
 GET /login 200 in 57ms (compile: 4ms, proxy.ts: 5ms, render: 47ms)
 GET /login 200 in 35ms (compile: 4ms, proxy.ts: 6ms, render: 25ms)
 GET /login 200 in 35ms (compile: 5ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 39ms (compile: 5ms, proxy.ts: 5ms, render: 30ms)
 GET /login 200 in 39ms (compile: 9ms, proxy.ts: 6ms, render: 24ms)
 GET /login 200 in 34ms (compile: 6ms, proxy.ts: 4ms, render: 24ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 35ms (compile: 4ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 52ms (compile: 7ms, proxy.ts: 6ms, render: 40ms)
 GET /login 200 in 53ms (compile: 4ms, proxy.ts: 5ms, render: 44ms)
 GET /login 200 in 65ms (compile: 4ms, proxy.ts: 5ms, render: 57ms)
 GET /login 200 in 67ms (compile: 12ms, proxy.ts: 5ms, render: 49ms)
 GET /login 200 in 36ms (compile: 4ms, proxy.ts: 5ms, render: 27ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /login 200 in 54ms (compile: 6ms, proxy.ts: 6ms, render: 42ms)
 GET /login 200 in 33ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
 GET /login 200 in 35ms (compile: 4ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 38ms (compile: 4ms, proxy.ts: 6ms, render: 28ms)
 GET /login 200 in 36ms (compile: 5ms, proxy.ts: 7ms, render: 23ms)
 GET /login 200 in 39ms (compile: 5ms, proxy.ts: 6ms, render: 28ms)
 GET /login 200 in 38ms (compile: 6ms, proxy.ts: 7ms, render: 26ms)
 GET /login 200 in 35ms (compile: 5ms, proxy.ts: 6ms, render: 24ms)
 GET /login 200 in 36ms (compile: 6ms, proxy.ts: 5ms, render: 26ms)
 GET /login 200 in 52ms (compile: 5ms, proxy.ts: 5ms, render: 41ms)
 GET /login 200 in 35ms (compile: 3ms, proxy.ts: 4ms, render: 28ms)
 GET /login 200 in 63ms (compile: 7ms, proxy.ts: 6ms, render: 50ms)
 GET /login 200 in 59ms (compile: 6ms, proxy.ts: 5ms, render: 48ms)
 GET /login 200 in 72ms (compile: 6ms, proxy.ts: 6ms, render: 60ms)
 GET /login 200 in 38ms (compile: 5ms, proxy.ts: 6ms, render: 26ms)
 GET /login 200 in 32ms (compile: 5ms, proxy.ts: 5ms, render: 22ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 4ms, render: 24ms)
 GET /login 200 in 55ms (compile: 6ms, proxy.ts: 6ms, render: 44ms)
 GET /login 200 in 53ms (compile: 4ms, proxy.ts: 5ms, render: 43ms)
 GET /login 200 in 50ms (compile: 4ms, proxy.ts: 5ms, render: 42ms)
 GET /login 200 in 34ms (compile: 4ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 62ms (compile: 5ms, proxy.ts: 6ms, render: 52ms)
 GET /login 200 in 40ms (compile: 5ms, proxy.ts: 6ms, render: 29ms)
 GET /login 200 in 41ms (compile: 6ms, proxy.ts: 7ms, render: 28ms)
 GET /login 200 in 40ms (compile: 6ms, proxy.ts: 5ms, render: 28ms)
 GET /login 200 in 38ms (compile: 7ms, proxy.ts: 6ms, render: 25ms)
 GET /login 200 in 37ms (compile: 6ms, proxy.ts: 6ms, render: 25ms)
 GET /login 200 in 37ms (compile: 5ms, proxy.ts: 6ms, render: 26ms)
 GET /login 200 in 62ms (compile: 4ms, proxy.ts: 6ms, render: 51ms)
 GET /login 200 in 66ms (compile: 5ms, proxy.ts: 6ms, render: 56ms)
 GET /login 200 in 83ms (compile: 14ms, proxy.ts: 7ms, render: 63ms)
 GET /login 200 in 59ms (compile: 22ms, proxy.ts: 8ms, render: 30ms)
 GET /login 200 in 38ms (compile: 6ms, proxy.ts: 6ms, render: 27ms)
 GET /login 200 in 33ms (compile: 5ms, proxy.ts: 6ms, render: 22ms)
 GET /login 200 in 50ms (compile: 4ms, proxy.ts: 5ms, render: 42ms)
 GET /login 200 in 32ms (compile: 5ms, proxy.ts: 5ms, render: 22ms)
 GET /login 200 in 33ms (compile: 5ms, proxy.ts: 4ms, render: 24ms)
 GET /login 200 in 53ms (compile: 5ms, proxy.ts: 6ms, render: 42ms)
 GET /login 200 in 35ms (compile: 5ms, proxy.ts: 5ms, render: 26ms)
 GET /login 200 in 31ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 56ms (compile: 4ms, proxy.ts: 5ms, render: 47ms)
 GET /login 200 in 37ms (compile: 4ms, proxy.ts: 5ms, render: 28ms)
 GET /login 200 in 36ms (compile: 5ms, proxy.ts: 5ms, render: 26ms)
 GET /login 200 in 36ms (compile: 6ms, proxy.ts: 6ms, render: 24ms)
 GET /login 200 in 33ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
