▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1079ms
 GET /login 200 in 59ms (compile: 5ms, proxy.ts: 5ms, render: 50ms)
 GET /login 200 in 40ms (compile: 6ms, proxy.ts: 6ms, render: 28ms)
 GET /login 200 in 34ms (compile: 5ms, proxy.ts: 4ms, render: 24ms)
 GET /login 200 in 33ms (compile: 3ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 65ms (compile: 5ms, proxy.ts: 5ms, render: 55ms)
 GET /login 200 in 37ms (compile: 5ms, proxy.ts: 5ms, render: 27ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 36ms (compile: 5ms, proxy.ts: 5ms, render: 27ms)
 GET /login 200 in 34ms (compile: 5ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 34ms (compile: 4ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 40ms (compile: 4ms, proxy.ts: 8ms, render: 29ms)
 GET /login 200 in 38ms (compile: 11ms, proxy.ts: 5ms, render: 22ms)
 GET /login 200 in 54ms (compile: 7ms, proxy.ts: 5ms, render: 41ms)
 GET /login 200 in 33ms (compile: 3ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 52ms (compile: 5ms, proxy.ts: 5ms, render: 42ms)
 GET /login 200 in 56ms (compile: 4ms, proxy.ts: 4ms, render: 49ms)
 GET /login 200 in 62ms (compile: 4ms, proxy.ts: 7ms, render: 51ms)
 GET /login 200 in 35ms (compile: 4ms, proxy.ts: 6ms, render: 24ms)
 GET /login 200 in 31ms (compile: 4ms, proxy.ts: 6ms, render: 22ms)
 GET /login 200 in 36ms (compile: 4ms, proxy.ts: 5ms, render: 27ms)
 GET /login 200 in 56ms (compile: 4ms, proxy.ts: 6ms, render: 47ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /login 200 in 33ms (compile: 6ms, proxy.ts: 4ms, render: 22ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 32ms (compile: 5ms, proxy.ts: 6ms, render: 21ms)
 GET /login 200 in 28ms (compile: 4ms, proxy.ts: 4ms, render: 19ms)
 GET /login 200 in 50ms (compile: 5ms, proxy.ts: 4ms, render: 42ms)
 GET /login 200 in 56ms (compile: 3ms, proxy.ts: 4ms, render: 49ms)
 GET /login 200 in 55ms (compile: 6ms, proxy.ts: 12ms, render: 37ms)
 GET /login 200 in 30ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /login 200 in 28ms (compile: 4ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 50ms (compile: 4ms, proxy.ts: 4ms, render: 42ms)
 GET /login 200 in 33ms (compile: 3ms, proxy.ts: 6ms, render: 25ms)
 GET /login 200 in 50ms (compile: 6ms, proxy.ts: 4ms, render: 40ms)
 GET /login 200 in 33ms (compile: 3ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 50ms (compile: 5ms, proxy.ts: 5ms, render: 39ms)
 GET /login 200 in 65ms (compile: 3ms, proxy.ts: 5ms, render: 57ms)
 GET /login 200 in 55ms (compile: 5ms, proxy.ts: 6ms, render: 44ms)
 GET /login 200 in 45ms (compile: 3ms, proxy.ts: 4ms, render: 37ms)
 GET /login 200 in 44ms (compile: 4ms, proxy.ts: 5ms, render: 35ms)
 GET /login 200 in 27ms (compile: 3ms, proxy.ts: 4ms, render: 20ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 4ms, render: 25ms)
 GET /login 200 in 47ms (compile: 4ms, proxy.ts: 8ms, render: 36ms)
 GET /login 200 in 29ms (compile: 4ms, proxy.ts: 4ms, render: 21ms)
 GET /login 200 in 27ms (compile: 5ms, proxy.ts: 5ms, render: 17ms)
 GET /login 200 in 51ms (compile: 3ms, proxy.ts: 4ms, render: 44ms)
 GET /login 200 in 58ms (compile: 4ms, proxy.ts: 7ms, render: 48ms)
 GET /login 200 in 62ms (compile: 6ms, proxy.ts: 5ms, render: 50ms)
 GET /login 200 in 60ms (compile: 4ms, proxy.ts: 6ms, render: 50ms)
 GET /login 200 in 61ms (compile: 4ms, proxy.ts: 5ms, render: 52ms)
 GET /login 200 in 39ms (compile: 5ms, proxy.ts: 7ms, render: 28ms)
 GET /login 200 in 53ms (compile: 4ms, proxy.ts: 5ms, render: 44ms)
