
> fin@0.2.0 dev
> next dev --port 3000

▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 970ms
 GET /test-file-size-limit 200 in 107ms (compile: 20ms, proxy.ts: 9ms, render: 78ms)
 GET / 200 in 114ms (compile: 6ms, proxy.ts: 10ms, render: 98ms)
 GET /test-file-size-limit 200 in 102ms (compile: 20ms, proxy.ts: 7ms, render: 74ms)
 GET / 200 in 108ms (compile: 6ms, proxy.ts: 7ms, render: 96ms)
 GET /test-file-size-limit 200 in 102ms (compile: 21ms, proxy.ts: 9ms, render: 72ms)
 GET / 200 in 111ms (compile: 9ms, proxy.ts: 9ms, render: 93ms)
 GET /test-file-size-limit 200 in 109ms (compile: 21ms, proxy.ts: 10ms, render: 78ms)
 GET / 200 in 132ms (compile: 7ms, proxy.ts: 10ms, render: 115ms)
 GET /test-file-size-limit 200 in 115ms (compile: 22ms, proxy.ts: 10ms, render: 82ms)
 GET / 200 in 143ms (compile: 7ms, proxy.ts: 10ms, render: 126ms)
 GET /test-file-size-limit 200 in 110ms (compile: 21ms, proxy.ts: 9ms, render: 80ms)
 GET / 200 in 127ms (compile: 6ms, proxy.ts: 14ms, render: 107ms)
 GET /test-file-size-limit 200 in 112ms (compile: 27ms, proxy.ts: 11ms, render: 74ms)
 GET / 200 in 122ms (compile: 12ms, proxy.ts: 8ms, render: 102ms)
 GET /test-file-size-limit 200 in 116ms (compile: 22ms, proxy.ts: 11ms, render: 83ms)
 GET / 200 in 122ms (compile: 10ms, proxy.ts: 7ms, render: 105ms)
 GET /test-file-size-limit 200 in 112ms (compile: 27ms, proxy.ts: 12ms, render: 73ms)
 GET / 200 in 120ms (compile: 12ms, proxy.ts: 11ms, render: 98ms)
 GET /test-file-size-limit 200 in 99ms (compile: 20ms, proxy.ts: 6ms, render: 72ms)
 GET / 200 in 106ms (compile: 7ms, proxy.ts: 7ms, render: 92ms)
 GET /test-file-size-limit 200 in 103ms (compile: 24ms, proxy.ts: 11ms, render: 68ms)
 GET / 200 in 124ms (compile: 11ms, proxy.ts: 10ms, render: 103ms)
 GET /test-file-size-limit 200 in 98ms (compile: 21ms, proxy.ts: 8ms, render: 69ms)
 GET / 200 in 107ms (compile: 7ms, proxy.ts: 9ms, render: 91ms)
 GET /test-file-size-limit 200 in 98ms (compile: 18ms, proxy.ts: 9ms, render: 71ms)
 GET / 200 in 107ms (compile: 5ms, proxy.ts: 9ms, render: 94ms)
 GET /test-file-size-limit 200 in 99ms (compile: 20ms, proxy.ts: 9ms, render: 70ms)
 GET / 200 in 105ms (compile: 6ms, proxy.ts: 8ms, render: 92ms)
 GET /test-file-size-limit 200 in 98ms (compile: 22ms, proxy.ts: 10ms, render: 67ms)
 GET / 200 in 103ms (compile: 8ms, proxy.ts: 8ms, render: 86ms)
 GET /test-file-size-limit 200 in 107ms (compile: 24ms, proxy.ts: 9ms, render: 75ms)
 GET / 200 in 113ms (compile: 10ms, proxy.ts: 6ms, render: 97ms)
 GET /test-file-size-limit 200 in 108ms (compile: 30ms, proxy.ts: 8ms, render: 69ms)
 GET / 200 in 111ms (compile: 6ms, proxy.ts: 7ms, render: 98ms)
 GET /test-file-size-limit 200 in 99ms (compile: 20ms, proxy.ts: 10ms, render: 69ms)
 GET / 200 in 121ms (compile: 9ms, proxy.ts: 23ms, render: 88ms)
 GET /test-file-size-limit 200 in 100ms (compile: 24ms, proxy.ts: 9ms, render: 67ms)
 GET / 200 in 120ms (compile: 9ms, proxy.ts: 21ms, render: 90ms)
 GET / 200 in 120ms (compile: 6ms, proxy.ts: 20ms, render: 94ms)
 GET /test-file-size-limit 200 in 103ms (compile: 6ms, proxy.ts: 28ms, render: 69ms)
 GET / 200 in 123ms (compile: 5ms, proxy.ts: 20ms, render: 98ms)
 GET /test-file-size-limit 200 in 104ms (compile: 10ms, proxy.ts: 22ms, render: 73ms)
 GET / 200 in 127ms (compile: 6ms, proxy.ts: 26ms, render: 95ms)
 GET /test-file-size-limit 200 in 103ms (compile: 5ms, proxy.ts: 28ms, render: 69ms)
 GET / 200 in 118ms (compile: 6ms, proxy.ts: 20ms, render: 92ms)
 GET /test-file-size-limit 200 in 99ms (compile: 7ms, proxy.ts: 23ms, render: 69ms)
 GET / 200 in 126ms (compile: 7ms, proxy.ts: 22ms, render: 98ms)
 GET /test-file-size-limit 200 in 106ms (compile: 8ms, proxy.ts: 22ms, render: 77ms)
 GET / 200 in 126ms (compile: 6ms, proxy.ts: 23ms, render: 96ms)
 GET /test-file-size-limit 200 in 103ms (compile: 6ms, proxy.ts: 22ms, render: 74ms)
 GET / 200 in 126ms (compile: 8ms, proxy.ts: 31ms, render: 88ms)
 GET /test-file-size-limit 200 in 96ms (compile: 7ms, proxy.ts: 21ms, render: 68ms)
 GET / 200 in 114ms (compile: 6ms, proxy.ts: 21ms, render: 87ms)
 GET /test-file-size-limit 200 in 114ms (compile: 8ms, proxy.ts: 23ms, render: 84ms)
 GET / 200 in 119ms (compile: 8ms, proxy.ts: 22ms, render: 89ms)
 GET /test-file-size-limit 200 in 97ms (compile: 5ms, proxy.ts: 22ms, render: 71ms)
 GET / 200 in 122ms (compile: 7ms, proxy.ts: 21ms, render: 94ms)
 GET /test-file-size-limit 200 in 122ms (compile: 5ms, proxy.ts: 25ms, render: 93ms)
 GET / 200 in 129ms (compile: 11ms, proxy.ts: 21ms, render: 97ms)
 GET /test-file-size-limit 200 in 108ms (compile: 5ms, proxy.ts: 29ms, render: 75ms)
 GET /test-file-size-limit 200 in 106ms (compile: 5ms, proxy.ts: 24ms, render: 77ms)
 GET / 200 in 131ms (compile: 9ms, proxy.ts: 21ms, render: 101ms)
 GET / 200 in 141ms (compile: 10ms, proxy.ts: 23ms, render: 108ms)
 GET /test-file-size-limit 200 in 122ms (compile: 6ms, proxy.ts: 28ms, render: 88ms)
 GET / 200 in 145ms (compile: 8ms, proxy.ts: 23ms, render: 114ms)
 GET /test-file-size-limit 200 in 122ms (compile: 17ms, proxy.ts: 24ms, render: 82ms)
 GET /test-file-size-limit 200 in 116ms (compile: 24ms, proxy.ts: 10ms, render: 82ms)
 GET / 200 in 168ms (compile: 12ms, proxy.ts: 28ms, render: 128ms)
 GET / 200 in 145ms (compile: 10ms, proxy.ts: 25ms, render: 111ms)
 GET /test-file-size-limit 200 in 126ms (compile: 27ms, proxy.ts: 12ms, render: 86ms)
 GET / 200 in 144ms (compile: 10ms, proxy.ts: 26ms, render: 109ms)
 GET /test-file-size-limit 200 in 121ms (compile: 7ms, proxy.ts: 30ms, render: 84ms)
 GET / 200 in 140ms (compile: 9ms, proxy.ts: 27ms, render: 105ms)
 GET /test-file-size-limit 200 in 118ms (compile: 9ms, proxy.ts: 26ms, render: 83ms)
 GET / 200 in 140ms (compile: 9ms, proxy.ts: 28ms, render: 102ms)
 GET /test-file-size-limit 200 in 113ms (compile: 7ms, proxy.ts: 27ms, render: 79ms)
 GET / 200 in 146ms (compile: 12ms, proxy.ts: 25ms, render: 109ms)
 GET /test-file-size-limit 200 in 149ms (compile: 7ms, proxy.ts: 29ms, render: 114ms)
 GET / 200 in 233ms (compile: 6ms, proxy.ts: 24ms, render: 202ms)
 GET /test-file-size-limit 200 in 229ms (compile: 6ms, proxy.ts: 24ms, render: 200ms)
 GET / 200 in 244ms (compile: 20ms, proxy.ts: 27ms, render: 197ms)
 GET /test-file-size-limit 200 in 230ms (compile: 11ms, proxy.ts: 36ms, render: 183ms)
 GET / 200 in 222ms (compile: 83ms, proxy.ts: 29ms, render: 109ms)
 GET /test-file-size-limit 200 in 130ms (compile: 8ms, proxy.ts: 45ms, render: 76ms)
 GET / 200 in 133ms (compile: 9ms, proxy.ts: 24ms, render: 100ms)
 GET /api/health 200 in 286ms (compile: 82ms, proxy.ts: 13ms, render: 191ms)
 GET /test-file-size-limit 200 in 137ms (compile: 7ms, proxy.ts: 28ms, render: 103ms)
 GET / 200 in 145ms (compile: 8ms, proxy.ts: 22ms, render: 116ms)
 GET /test-file-size-limit 200 in 145ms (compile: 7ms, proxy.ts: 25ms, render: 112ms)
 GET / 200 in 153ms (compile: 14ms, proxy.ts: 24ms, render: 115ms)
 GET /test-file-size-limit 200 in 130ms (compile: 9ms, proxy.ts: 37ms, render: 84ms)
 GET / 200 in 147ms (compile: 9ms, proxy.ts: 29ms, render: 109ms)
 GET /test-file-size-limit 200 in 119ms (compile: 7ms, proxy.ts: 29ms, render: 83ms)
 GET / 200 in 135ms (compile: 9ms, proxy.ts: 23ms, render: 103ms)
 GET /test-file-size-limit 200 in 113ms (compile: 17ms, proxy.ts: 25ms, render: 72ms)
 GET / 200 in 124ms (compile: 7ms, proxy.ts: 24ms, render: 93ms)
 GET /test-file-size-limit 200 in 103ms (compile: 7ms, proxy.ts: 24ms, render: 71ms)
 GET / 200 in 125ms (compile: 7ms, proxy.ts: 23ms, render: 95ms)
 GET /test-file-size-limit 200 in 102ms (compile: 7ms, proxy.ts: 23ms, render: 72ms)
 GET / 200 in 145ms (compile: 10ms, proxy.ts: 23ms, render: 112ms)
 GET /test-file-size-limit 200 in 120ms (compile: 10ms, proxy.ts: 23ms, render: 88ms)
 GET / 200 in 140ms (compile: 6ms, proxy.ts: 21ms, render: 114ms)
 GET /test-file-size-limit 200 in 122ms (compile: 9ms, proxy.ts: 24ms, render: 88ms)
 GET / 200 in 144ms (compile: 25ms, proxy.ts: 25ms, render: 94ms)
 GET /test-file-size-limit 200 in 104ms (compile: 8ms, proxy.ts: 22ms, render: 75ms)
 GET /test-file-size-limit 200 in 111ms (compile: 25ms, proxy.ts: 7ms, render: 80ms)
 GET / 200 in 138ms (compile: 10ms, proxy.ts: 26ms, render: 102ms)
 GET / 200 in 125ms (compile: 5ms, proxy.ts: 25ms, render: 96ms)
 GET /test-file-size-limit 200 in 104ms (compile: 8ms, proxy.ts: 25ms, render: 71ms)
 GET / 200 in 119ms (compile: 7ms, proxy.ts: 30ms, render: 82ms)
 GET /test-file-size-limit 200 in 93ms (compile: 5ms, proxy.ts: 22ms, render: 66ms)
 GET /test-file-size-limit 200 in 99ms (compile: 21ms, proxy.ts: 6ms, render: 71ms)
 GET / 200 in 120ms (compile: 9ms, proxy.ts: 19ms, render: 91ms)
 GET /test-file-size-limit 200 in 102ms (compile: 22ms, proxy.ts: 8ms, render: 72ms)
 GET / 200 in 123ms (compile: 6ms, proxy.ts: 23ms, render: 94ms)
 GET /test-file-size-limit 200 in 99ms (compile: 23ms, proxy.ts: 9ms, render: 68ms)
 GET / 200 in 125ms (compile: 8ms, proxy.ts: 26ms, render: 92ms)
 GET /test-file-size-limit 200 in 99ms (compile: 21ms, proxy.ts: 9ms, render: 69ms)
 GET / 200 in 124ms (compile: 7ms, proxy.ts: 24ms, render: 94ms)
 GET / 200 in 118ms (compile: 7ms, proxy.ts: 24ms, render: 86ms)
 GET /test-file-size-limit 200 in 101ms (compile: 6ms, proxy.ts: 27ms, render: 68ms)
 GET / 200 in 126ms (compile: 9ms, proxy.ts: 21ms, render: 96ms)
 GET /test-file-size-limit 200 in 104ms (compile: 5ms, proxy.ts: 22ms, render: 77ms)
 GET / 200 in 144ms (compile: 10ms, proxy.ts: 20ms, render: 115ms)
 GET /test-file-size-limit 200 in 127ms (compile: 13ms, proxy.ts: 25ms, render: 89ms)
 GET / 200 in 127ms (compile: 9ms, proxy.ts: 26ms, render: 92ms)
 GET /test-file-size-limit 200 in 121ms (compile: 6ms, proxy.ts: 27ms, render: 88ms)
 GET / 200 in 120ms (compile: 6ms, proxy.ts: 20ms, render: 94ms)
 GET /test-file-size-limit 200 in 100ms (compile: 4ms, proxy.ts: 25ms, render: 71ms)
 GET / 200 in 119ms (compile: 9ms, proxy.ts: 22ms, render: 88ms)
