▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1067ms
 GET /login 200 in 69ms (compile: 6ms, proxy.ts: 5ms, render: 58ms)
 GET /login 200 in 81ms (compile: 5ms, proxy.ts: 5ms, render: 71ms)
 GET /login 200 in 82ms (compile: 6ms, proxy.ts: 14ms, render: 62ms)
 GET /login 200 in 78ms (compile: 6ms, proxy.ts: 8ms, render: 63ms)
 GET /login 200 in 69ms (compile: 3ms, proxy.ts: 7ms, render: 59ms)
 GET /login 200 in 40ms (compile: 7ms, proxy.ts: 7ms, render: 26ms)
 GET /login 200 in 38ms (compile: 6ms, proxy.ts: 6ms, render: 26ms)
 GET /login 200 in 56ms (compile: 5ms, proxy.ts: 5ms, render: 45ms)
 GET /login 200 in 36ms (compile: 4ms, proxy.ts: 6ms, render: 27ms)
 GET /login 200 in 57ms (compile: 5ms, proxy.ts: 6ms, render: 46ms)
 GET /login 200 in 39ms (compile: 5ms, proxy.ts: 6ms, render: 29ms)
 GET /login 200 in 67ms (compile: 4ms, proxy.ts: 6ms, render: 56ms)
 GET /login 200 in 68ms (compile: 5ms, proxy.ts: 8ms, render: 55ms)
 GET /login 200 in 69ms (compile: 4ms, proxy.ts: 7ms, render: 57ms)
 GET /login 200 in 67ms (compile: 5ms, proxy.ts: 7ms, render: 55ms)
 GET /login 200 in 125ms (compile: 8ms, proxy.ts: 5ms, render: 112ms)
 GET /login 200 in 113ms (compile: 22ms, proxy.ts: 48ms, render: 43ms)
 GET /login 200 in 48ms (compile: 5ms, proxy.ts: 7ms, render: 36ms)
 GET /login 200 in 42ms (compile: 2ms, proxy.ts: 4ms, render: 36ms)
 GET /login 200 in 30ms (compile: 5ms, proxy.ts: 4ms, render: 22ms)
 GET /login 200 in 43ms (compile: 4ms, proxy.ts: 5ms, render: 35ms)
 GET /login 200 in 46ms (compile: 3ms, proxy.ts: 4ms, render: 39ms)
 GET /login 200 in 52ms (compile: 4ms, proxy.ts: 6ms, render: 41ms)
 GET /login 200 in 48ms (compile: 3ms, proxy.ts: 5ms, render: 40ms)
 GET /login 200 in 28ms (compile: 3ms, proxy.ts: 5ms, render: 19ms)
 GET /login 200 in 25ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 POST /api/dev-login 401 in 375ms (compile: 40ms, proxy.ts: 25ms, render: 309ms)
 GET /login 200 in 53ms (compile: 4ms, proxy.ts: 4ms, render: 46ms)
 GET /login 200 in 207ms (compile: 3ms, proxy.ts: 4ms, render: 200ms)
 GET /login 200 in 418ms (compile: 31ms, proxy.ts: 5ms, render: 382ms)
✓ Compiled in 557ms
 GET /login 200 in 485ms (compile: 189ms, proxy.ts: 245ms, render: 51ms)
 GET /login 200 in 66ms (compile: 6ms, proxy.ts: 5ms, render: 55ms)
 GET /login 200 in 41ms (compile: 6ms, proxy.ts: 5ms, render: 30ms)
 GET /login 200 in 35ms (compile: 6ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 35ms (compile: 5ms, proxy.ts: 6ms, render: 25ms)
 GET /login 200 in 36ms (compile: 4ms, proxy.ts: 6ms, render: 26ms)
 GET /login 200 in 38ms (compile: 5ms, proxy.ts: 5ms, render: 28ms)
 GET /login 200 in 39ms (compile: 5ms, proxy.ts: 12ms, render: 22ms)
 GET /login 200 in 29ms (compile: 5ms, proxy.ts: 6ms, render: 19ms)
 GET /login 200 in 28ms (compile: 3ms, proxy.ts: 4ms, render: 21ms)
 GET /login 200 in 31ms (compile: 6ms, proxy.ts: 4ms, render: 21ms)
 GET /login 200 in 36ms (compile: 4ms, proxy.ts: 6ms, render: 27ms)
 GET /login 200 in 36ms (compile: 4ms, proxy.ts: 6ms, render: 25ms)
 GET /login 200 in 63ms (compile: 6ms, proxy.ts: 5ms, render: 52ms)
 GET /login 200 in 36ms (compile: 5ms, proxy.ts: 7ms, render: 23ms)
 GET /login 200 in 51ms (compile: 4ms, proxy.ts: 5ms, render: 42ms)
 GET /login 200 in 33ms (compile: 4ms, proxy.ts: 6ms, render: 23ms)
 GET /login 200 in 61ms (compile: 6ms, proxy.ts: 4ms, render: 50ms)
 GET /login 200 in 72ms (compile: 5ms, proxy.ts: 7ms, render: 60ms)
 GET /login 200 in 67ms (compile: 5ms, proxy.ts: 8ms, render: 55ms)
 GET /login 200 in 64ms (compile: 4ms, proxy.ts: 6ms, render: 54ms)
 GET /login 200 in 63ms (compile: 6ms, proxy.ts: 9ms, render: 49ms)
 GET /login 200 in 58ms (compile: 4ms, proxy.ts: 6ms, render: 48ms)
 GET /login 200 in 38ms (compile: 5ms, proxy.ts: 6ms, render: 28ms)
 GET /login 200 in 39ms (compile: 5ms, proxy.ts: 6ms, render: 28ms)
 GET /login 200 in 61ms (compile: 6ms, proxy.ts: 6ms, render: 49ms)
 GET /login 200 in 40ms (compile: 3ms, proxy.ts: 5ms, render: 31ms)
 GET /login 200 in 71ms (compile: 5ms, proxy.ts: 5ms, render: 60ms)
 GET /login 200 in 84ms (compile: 5ms, proxy.ts: 6ms, render: 72ms)
 GET /login 200 in 74ms (compile: 5ms, proxy.ts: 15ms, render: 55ms)
 GET /login 200 in 65ms (compile: 4ms, proxy.ts: 10ms, render: 51ms)
 GET /login 200 in 78ms (compile: 4ms, proxy.ts: 8ms, render: 66ms)
 GET /login 200 in 78ms (compile: 5ms, proxy.ts: 21ms, render: 52ms)
 GET /login 200 in 62ms (compile: 5ms, proxy.ts: 7ms, render: 50ms)
 GET /login 200 in 38ms (compile: 5ms, proxy.ts: 8ms, render: 25ms)
 GET /login 200 in 54ms (compile: 6ms, proxy.ts: 5ms, render: 43ms)
 GET /login 200 in 57ms (compile: 3ms, proxy.ts: 5ms, render: 49ms)
 GET /login 200 in 58ms (compile: 4ms, proxy.ts: 6ms, render: 48ms)
 GET /login 200 in 60ms (compile: 5ms, proxy.ts: 6ms, render: 49ms)
 GET /login 200 in 37ms (compile: 3ms, proxy.ts: 6ms, render: 28ms)
 GET /login 200 in 36ms (compile: 4ms, proxy.ts: 6ms, render: 27ms)
 GET /login 200 in 73ms (compile: 5ms, proxy.ts: 6ms, render: 61ms)
 GET /login 200 in 82ms (compile: 4ms, proxy.ts: 8ms, render: 69ms)
 GET /login 200 in 54ms (compile: 6ms, proxy.ts: 11ms, render: 37ms)
 GET /login 200 in 64ms (compile: 8ms, proxy.ts: 9ms, render: 47ms)
 GET /login 200 in 77ms (compile: 4ms, proxy.ts: 6ms, render: 66ms)
 GET /login 200 in 45ms (compile: 5ms, proxy.ts: 7ms, render: 33ms)
 GET /login 200 in 37ms (compile: 8ms, proxy.ts: 5ms, render: 25ms)
 GET /login 200 in 59ms (compile: 4ms, proxy.ts: 5ms, render: 50ms)
 GET /login 200 in 60ms (compile: 4ms, proxy.ts: 6ms, render: 50ms)
 GET /login 200 in 59ms (compile: 4ms, proxy.ts: 6ms, render: 49ms)
 GET /login 200 in 40ms (compile: 5ms, proxy.ts: 7ms, render: 29ms)
 GET /login 200 in 59ms (compile: 6ms, proxy.ts: 6ms, render: 47ms)
 GET /login 200 in 63ms (compile: 4ms, proxy.ts: 5ms, render: 54ms)
 GET /login 200 in 70ms (compile: 4ms, proxy.ts: 6ms, render: 60ms)
 GET /login 200 in 72ms (compile: 6ms, proxy.ts: 10ms, render: 56ms)
 GET /login 200 in 74ms (compile: 6ms, proxy.ts: 8ms, render: 60ms)
 GET /login 200 in 70ms (compile: 8ms, proxy.ts: 7ms, render: 54ms)
 GET /login 200 in 67ms (compile: 6ms, proxy.ts: 7ms, render: 54ms)
 GET /login 200 in 65ms (compile: 5ms, proxy.ts: 7ms, render: 53ms)
 GET /login 200 in 71ms (compile: 5ms, proxy.ts: 7ms, render: 59ms)
 GET /login 200 in 79ms (compile: 4ms, proxy.ts: 8ms, render: 67ms)
 GET /login 200 in 40ms (compile: 4ms, proxy.ts: 8ms, render: 28ms)
 GET /login 200 in 34ms (compile: 4ms, proxy.ts: 6ms, render: 24ms)
 GET /login 200 in 51ms (compile: 5ms, proxy.ts: 5ms, render: 40ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /login 200 in 52ms (compile: 6ms, proxy.ts: 5ms, render: 42ms)
 GET /login 200 in 52ms (compile: 5ms, proxy.ts: 4ms, render: 43ms)
 GET /login 200 in 32ms (compile: 4ms, proxy.ts: 6ms, render: 22ms)
 GET /login 200 in 54ms (compile: 4ms, proxy.ts: 4ms, render: 45ms)
 GET /login 200 in 60ms (compile: 4ms, proxy.ts: 7ms, render: 49ms)
 GET /login 200 in 63ms (compile: 4ms, proxy.ts: 7ms, render: 51ms)
 GET /login 200 in 37ms (compile: 4ms, proxy.ts: 6ms, render: 26ms)
 GET /login 200 in 61ms (compile: 7ms, proxy.ts: 6ms, render: 49ms)
