▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1261ms
 GET /login 200 in 178ms (compile: 31ms, proxy.ts: 20ms, render: 127ms)
 GET /test-freedom-card 200 in 179ms (compile: 48ms, proxy.ts: 18ms, render: 113ms)
 GET /test-sell-transaction 200 in 189ms (compile: 15ms, proxy.ts: 30ms, render: 143ms)
 GET /login 200 in 174ms (compile: 28ms, proxy.ts: 16ms, render: 130ms)
 GET /test-freedom-card 200 in 173ms (compile: 38ms, proxy.ts: 15ms, render: 120ms)
 GET /test-sell-transaction 200 in 177ms (compile: 14ms, proxy.ts: 14ms, render: 149ms)
 GET /login 200 in 184ms (compile: 25ms, proxy.ts: 16ms, render: 142ms)
 GET /test-freedom-card 200 in 182ms (compile: 39ms, proxy.ts: 16ms, render: 127ms)
 GET /login 200 in 164ms (compile: 24ms, proxy.ts: 13ms, render: 127ms)
 GET /test-freedom-card 200 in 164ms (compile: 40ms, proxy.ts: 14ms, render: 110ms)
 GET /test-sell-transaction 200 in 169ms (compile: 10ms, proxy.ts: 11ms, render: 147ms)
 GET /login 200 in 175ms (compile: 29ms, proxy.ts: 20ms, render: 127ms)
 GET /test-sell-transaction 200 in 177ms (compile: 14ms, proxy.ts: 17ms, render: 146ms)
 GET /test-freedom-card 200 in 171ms (compile: 42ms, proxy.ts: 16ms, render: 113ms)
 GET /test-sell-transaction 200 in 181ms (compile: 10ms, proxy.ts: 15ms, render: 156ms)
 GET /login 200 in 184ms (compile: 28ms, proxy.ts: 15ms, render: 140ms)
 GET /test-freedom-card 200 in 187ms (compile: 43ms, proxy.ts: 16ms, render: 128ms)
 GET /login 200 in 195ms (compile: 38ms, proxy.ts: 16ms, render: 141ms)
 GET /test-sell-transaction 200 in 199ms (compile: 21ms, proxy.ts: 13ms, render: 164ms)
 GET /test-freedom-card 200 in 212ms (compile: 54ms, proxy.ts: 16ms, render: 142ms)
 GET /test-sell-transaction 200 in 207ms (compile: 14ms, proxy.ts: 11ms, render: 182ms)
 GET /login 200 in 208ms (compile: 27ms, proxy.ts: 15ms, render: 167ms)
 GET /test-freedom-card 200 in 213ms (compile: 46ms, proxy.ts: 16ms, render: 151ms)
 GET /test-sell-transaction 200 in 204ms (compile: 15ms, proxy.ts: 31ms, render: 157ms)
 GET /login 200 in 206ms (compile: 32ms, proxy.ts: 30ms, render: 144ms)
 GET /test-freedom-card 200 in 207ms (compile: 50ms, proxy.ts: 28ms, render: 129ms)
 GET /test-sell-transaction 200 in 180ms (compile: 15ms, proxy.ts: 16ms, render: 149ms)
 GET /login 200 in 175ms (compile: 28ms, proxy.ts: 15ms, render: 132ms)
 GET /test-freedom-card 200 in 181ms (compile: 42ms, proxy.ts: 16ms, render: 122ms)
 GET /test-sell-transaction 200 in 173ms (compile: 13ms, proxy.ts: 14ms, render: 146ms)
 GET /login 200 in 176ms (compile: 24ms, proxy.ts: 17ms, render: 135ms)
 GET /test-freedom-card 200 in 176ms (compile: 39ms, proxy.ts: 17ms, render: 121ms)
 GET /test-sell-transaction 200 in 184ms (compile: 13ms, proxy.ts: 12ms, render: 159ms)
 GET /login 200 in 186ms (compile: 27ms, proxy.ts: 15ms, render: 144ms)
 GET /test-freedom-card 200 in 188ms (compile: 41ms, proxy.ts: 17ms, render: 130ms)
 GET /test-sell-transaction 200 in 185ms (compile: 15ms, proxy.ts: 15ms, render: 156ms)
 GET /test-freedom-card 200 in 182ms (compile: 42ms, proxy.ts: 16ms, render: 123ms)
 GET /login 200 in 188ms (compile: 34ms, proxy.ts: 11ms, render: 142ms)
 GET /login 200 in 176ms (compile: 21ms, proxy.ts: 16ms, render: 139ms)
 GET /test-sell-transaction 200 in 179ms (compile: 9ms, proxy.ts: 16ms, render: 154ms)
 GET /test-freedom-card 200 in 178ms (compile: 35ms, proxy.ts: 15ms, render: 128ms)
 GET /test-sell-transaction 200 in 167ms (compile: 15ms, proxy.ts: 14ms, render: 139ms)
 GET /test-freedom-card 200 in 168ms (compile: 46ms, proxy.ts: 15ms, render: 106ms)
 GET /login 200 in 171ms (compile: 29ms, proxy.ts: 15ms, render: 127ms)
 GET /login 200 in 149ms (compile: 7ms, proxy.ts: 13ms, render: 130ms)
 GET /test-sell-transaction 200 in 154ms (compile: 23ms, proxy.ts: 12ms, render: 119ms)
 GET /test-freedom-card 200 in 160ms (compile: 37ms, proxy.ts: 14ms, render: 109ms)
 GET /login 200 in 168ms (compile: 13ms, proxy.ts: 13ms, render: 141ms)
 GET /test-freedom-card 200 in 165ms (compile: 36ms, proxy.ts: 13ms, render: 115ms)
 GET /test-sell-transaction 200 in 170ms (compile: 27ms, proxy.ts: 12ms, render: 131ms)
 GET /test-sell-transaction 200 in 173ms (compile: 31ms, proxy.ts: 17ms, render: 126ms)
 GET /login 200 in 178ms (compile: 10ms, proxy.ts: 18ms, render: 150ms)
 GET /test-freedom-card 200 in 173ms (compile: 44ms, proxy.ts: 18ms, render: 111ms)
 GET /login 200 in 190ms (compile: 11ms, proxy.ts: 16ms, render: 164ms)
 GET /test-sell-transaction 200 in 191ms (compile: 23ms, proxy.ts: 18ms, render: 149ms)
 GET /test-freedom-card 200 in 195ms (compile: 36ms, proxy.ts: 18ms, render: 140ms)
 GET /login 200 in 206ms (compile: 28ms, proxy.ts: 12ms, render: 167ms)
 GET /test-freedom-card 200 in 205ms (compile: 59ms, proxy.ts: 17ms, render: 129ms)
 GET /test-sell-transaction 200 in 213ms (compile: 41ms, proxy.ts: 18ms, render: 154ms)
 GET /login 200 in 198ms (compile: 10ms, proxy.ts: 15ms, render: 172ms)
 GET /test-sell-transaction 200 in 200ms (compile: 26ms, proxy.ts: 17ms, render: 157ms)
 GET /test-freedom-card 200 in 199ms (compile: 45ms, proxy.ts: 17ms, render: 136ms)
 GET /login 200 in 200ms (compile: 14ms, proxy.ts: 18ms, render: 168ms)
 GET /test-sell-transaction 200 in 203ms (compile: 33ms, proxy.ts: 19ms, render: 151ms)
 GET /test-freedom-card 200 in 203ms (compile: 49ms, proxy.ts: 23ms, render: 131ms)
