▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3001
- Network:       http://192.168.86.37:3001
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1104ms
 GET /test-phase-transition 200 in 64ms (compile: 6ms, proxy.ts: 9ms, render: 49ms)
 GET /test-phase-transition 200 in 65ms (compile: 5ms, proxy.ts: 4ms, render: 56ms)
 GET /test-phase-transition 200 in 62ms (compile: 5ms, proxy.ts: 8ms, render: 49ms)
 GET /test-phase-transition 200 in 36ms (compile: 5ms, proxy.ts: 6ms, render: 25ms)
 GET /test-phase-transition 200 in 58ms (compile: 6ms, proxy.ts: 6ms, render: 46ms)
 GET /test-phase-transition 200 in 55ms (compile: 5ms, proxy.ts: 4ms, render: 46ms)
 GET /test-phase-transition 200 in 66ms (compile: 4ms, proxy.ts: 6ms, render: 56ms)
 GET /test-phase-transition 200 in 37ms (compile: 5ms, proxy.ts: 5ms, render: 27ms)
 GET /test-phase-transition 200 in 34ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
 GET /test-phase-transition 200 in 32ms (compile: 4ms, proxy.ts: 6ms, render: 22ms)
 GET /test-phase-transition 200 in 32ms (compile: 4ms, proxy.ts: 4ms, render: 23ms)
 GET /test-phase-transition 200 in 32ms (compile: 4ms, proxy.ts: 6ms, render: 22ms)
 GET /test-phase-transition 200 in 46ms (compile: 5ms, proxy.ts: 4ms, render: 38ms)
 GET /test-phase-transition 200 in 47ms (compile: 4ms, proxy.ts: 6ms, render: 38ms)
 GET /test-phase-transition 200 in 32ms (compile: 3ms, proxy.ts: 5ms, render: 24ms)
 GET /test-phase-transition 200 in 32ms (compile: 4ms, proxy.ts: 7ms, render: 21ms)
 GET /test-phase-transition 200 in 34ms (compile: 5ms, proxy.ts: 4ms, render: 25ms)
 GET /test-phase-transition 200 in 32ms (compile: 4ms, proxy.ts: 6ms, render: 23ms)
 GET /test-phase-transition 200 in 49ms (compile: 5ms, proxy.ts: 5ms, render: 39ms)
 GET /test-phase-transition 200 in 32ms (compile: 4ms, proxy.ts: 5ms, render: 23ms)
 GET /test-phase-transition 200 in 34ms (compile: 6ms, proxy.ts: 5ms, render: 23ms)
 GET /test-phase-transition 200 in 32ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
 GET /test-phase-transition 200 in 48ms (compile: 5ms, proxy.ts: 5ms, render: 38ms)
 GET /test-phase-transition 200 in 39ms (compile: 3ms, proxy.ts: 5ms, render: 31ms)
 GET /test-phase-transition 200 in 42ms (compile: 12ms, proxy.ts: 6ms, render: 24ms)
 GET /test-phase-transition 200 in 35ms (compile: 5ms, proxy.ts: 6ms, render: 23ms)
 GET /test-phase-transition 200 in 35ms (compile: 5ms, proxy.ts: 5ms, render: 25ms)
 GET /test-phase-transition 200 in 59ms (compile: 4ms, proxy.ts: 6ms, render: 49ms)
 GET /test-phase-transition 200 in 65ms (compile: 5ms, proxy.ts: 7ms, render: 53ms)
 GET /test-phase-transition 200 in 72ms (compile: 5ms, proxy.ts: 8ms, render: 59ms)
