▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:4444
- Network:       http://192.168.86.37:4444
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1058ms
 GET /test-sovereignty-gating 200 in 44ms (compile: 4ms, proxy.ts: 7ms, render: 33ms)
 GET /test-sovereignty-gating 200 in 24ms (compile: 3ms, proxy.ts: 6ms, render: 16ms)
 GET /test-sovereignty-gating 200 in 31ms (compile: 2ms, proxy.ts: 3ms, render: 26ms)
 GET /test-sovereignty-gating 200 in 25ms (compile: 3ms, proxy.ts: 6ms, render: 16ms)
 GET /test-sovereignty-gating 200 in 22ms (compile: 3ms, proxy.ts: 4ms, render: 16ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 3ms, proxy.ts: 3ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 22ms (compile: 2ms, proxy.ts: 3ms, render: 16ms)
 GET /test-sovereignty-gating 200 in 23ms (compile: 5ms, proxy.ts: 3ms, render: 16ms)
 GET /test-sovereignty-gating 200 in 26ms (compile: 5ms, proxy.ts: 3ms, render: 17ms)
 GET /test-sovereignty-gating 200 in 25ms (compile: 3ms, proxy.ts: 6ms, render: 17ms)
 GET /test-sovereignty-gating 200 in 24ms (compile: 3ms, proxy.ts: 3ms, render: 18ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 3ms, proxy.ts: 4ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 35ms (compile: 7ms, proxy.ts: 5ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 31ms (compile: 3ms, proxy.ts: 6ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 5ms, proxy.ts: 5ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 36ms (compile: 3ms, proxy.ts: 6ms, render: 27ms)
 GET /test-sovereignty-gating 200 in 27ms (compile: 4ms, proxy.ts: 4ms, render: 19ms)
 GET /test-sovereignty-gating 200 in 25ms (compile: 4ms, proxy.ts: 4ms, render: 17ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 3ms, proxy.ts: 4ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 31ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 4ms, proxy.ts: 4ms, render: 22ms)
 GET /test-sovereignty-gating 200 in 32ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET /test-sovereignty-gating 200 in 23ms (compile: 3ms, proxy.ts: 4ms, render: 16ms)
 GET /test-sovereignty-gating 200 in 48ms (compile: 3ms, proxy.ts: 5ms, render: 39ms)
 GET /test-sovereignty-gating 200 in 30ms (compile: 3ms, proxy.ts: 7ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 50ms (compile: 3ms, proxy.ts: 4ms, render: 43ms)
 GET /test-sovereignty-gating 200 in 57ms (compile: 3ms, proxy.ts: 5ms, render: 49ms)
 GET /test-sovereignty-gating 200 in 37ms (compile: 3ms, proxy.ts: 13ms, render: 20ms)
 GET /test-sovereignty-gating 200 in 28ms (compile: 4ms, proxy.ts: 4ms, render: 20ms)
