▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1064ms
 GET /test-fire-scenarios 200 in 29ms (compile: 3ms, proxy.ts: 4ms, render: 22ms)
 GET /test-fire-scenarios 200 in 48ms (compile: 4ms, proxy.ts: 6ms, render: 38ms)
 GET /test-fire-scenarios 200 in 26ms (compile: 3ms, proxy.ts: 5ms, render: 18ms)
 GET /test-fire-scenarios 200 in 29ms (compile: 5ms, proxy.ts: 4ms, render: 20ms)
 GET /test-fire-scenarios 200 in 25ms (compile: 3ms, proxy.ts: 4ms, render: 18ms)
 GET /test-fire-scenarios 200 in 27ms (compile: 3ms, proxy.ts: 4ms, render: 20ms)
 GET /test-fire-scenarios 200 in 29ms (compile: 5ms, proxy.ts: 5ms, render: 19ms)
 GET /test-fire-scenarios 200 in 32ms (compile: 4ms, proxy.ts: 6ms, render: 23ms)
 GET /test-fire-scenarios 200 in 39ms (compile: 5ms, proxy.ts: 5ms, render: 29ms)
 GET /test-fire-scenarios 200 in 56ms (compile: 6ms, proxy.ts: 10ms, render: 40ms)
 GET /test-fire-scenarios 200 in 32ms (compile: 3ms, proxy.ts: 6ms, render: 24ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 6ms, proxy.ts: 5ms, render: 23ms)
 GET /test-fire-scenarios 200 in 51ms (compile: 3ms, proxy.ts: 4ms, render: 44ms)
 GET /test-fire-scenarios 200 in 61ms (compile: 5ms, proxy.ts: 5ms, render: 50ms)
 GET /test-fire-scenarios 200 in 58ms (compile: 3ms, proxy.ts: 4ms, render: 51ms)
 GET /test-fire-scenarios 200 in 34ms (compile: 4ms, proxy.ts: 5ms, render: 25ms)
 GET /test-fire-scenarios 200 in 34ms (compile: 4ms, proxy.ts: 6ms, render: 24ms)
 GET /test-fire-scenarios 200 in 36ms (compile: 5ms, proxy.ts: 5ms, render: 26ms)
 GET /test-fire-scenarios 200 in 34ms (compile: 5ms, proxy.ts: 5ms, render: 24ms)
 GET /test-fire-scenarios 200 in 59ms (compile: 4ms, proxy.ts: 6ms, render: 49ms)
 GET /test-fire-scenarios 200 in 47ms (compile: 4ms, proxy.ts: 6ms, render: 38ms)
 GET /test-fire-scenarios 200 in 31ms (compile: 3ms, proxy.ts: 5ms, render: 22ms)
 GET /test-fire-scenarios 200 in 52ms (compile: 4ms, proxy.ts: 5ms, render: 43ms)
 GET /test-fire-scenarios 200 in 57ms (compile: 4ms, proxy.ts: 6ms, render: 47ms)
 GET /test-fire-scenarios 200 in 58ms (compile: 5ms, proxy.ts: 6ms, render: 48ms)
 GET /test-fire-scenarios 200 in 37ms (compile: 5ms, proxy.ts: 9ms, render: 24ms)
 GET /test-fire-scenarios 200 in 39ms (compile: 4ms, proxy.ts: 5ms, render: 30ms)
 GET /test-fire-scenarios 200 in 35ms (compile: 5ms, proxy.ts: 5ms, render: 25ms)
 GET /test-fire-scenarios 200 in 31ms (compile: 4ms, proxy.ts: 4ms, render: 23ms)
 GET /test-fire-scenarios 200 in 39ms (compile: 4ms, proxy.ts: 5ms, render: 30ms)
 GET /test-fire-scenarios 200 in 40ms (compile: 10ms, proxy.ts: 6ms, render: 24ms)
 GET /test-fire-scenarios 200 in 31ms (compile: 5ms, proxy.ts: 5ms, render: 21ms)
 GET /test-fire-scenarios 200 in 32ms (compile: 4ms, proxy.ts: 4ms, render: 24ms)
 GET /test-fire-scenarios 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 21ms)
 GET /test-fire-scenarios 200 in 56ms (compile: 4ms, proxy.ts: 4ms, render: 48ms)
 GET /test-fire-scenarios 200 in 41ms (compile: 4ms, proxy.ts: 4ms, render: 33ms)
 GET /test-fire-scenarios 200 in 32ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /test-fire-scenarios 200 in 48ms (compile: 4ms, proxy.ts: 5ms, render: 38ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 4ms, proxy.ts: 5ms, render: 24ms)
 GET /test-fire-scenarios 200 in 35ms (compile: 5ms, proxy.ts: 6ms, render: 23ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 5ms, proxy.ts: 6ms, render: 23ms)
 GET /test-fire-scenarios 200 in 30ms (compile: 4ms, proxy.ts: 6ms, render: 20ms)
 GET /test-fire-scenarios 200 in 32ms (compile: 3ms, proxy.ts: 4ms, render: 25ms)
 GET /test-fire-scenarios 200 in 56ms (compile: 4ms, proxy.ts: 7ms, render: 45ms)
 GET /test-fire-scenarios 200 in 50ms (compile: 4ms, proxy.ts: 4ms, render: 42ms)
 GET /test-fire-scenarios 200 in 32ms (compile: 3ms, proxy.ts: 6ms, render: 23ms)
 GET /test-fire-scenarios 200 in 31ms (compile: 4ms, proxy.ts: 5ms, render: 22ms)
 GET /test-fire-scenarios 200 in 53ms (compile: 3ms, proxy.ts: 4ms, render: 46ms)
 GET /test-fire-scenarios 200 in 37ms (compile: 4ms, proxy.ts: 8ms, render: 25ms)
 GET /test-fire-scenarios 200 in 69ms (compile: 5ms, proxy.ts: 6ms, render: 58ms)
 GET /test-fire-scenarios 200 in 78ms (compile: 4ms, proxy.ts: 5ms, render: 69ms)
 GET /test-fire-scenarios 200 in 57ms (compile: 6ms, proxy.ts: 6ms, render: 45ms)
 GET /test-fire-scenarios 200 in 38ms (compile: 3ms, proxy.ts: 5ms, render: 30ms)
 GET /test-fire-scenarios 200 in 40ms (compile: 6ms, proxy.ts: 7ms, render: 27ms)
 GET /test-fire-scenarios 200 in 37ms (compile: 4ms, proxy.ts: 6ms, render: 27ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 5ms, proxy.ts: 8ms, render: 21ms)
 GET /test-fire-scenarios 200 in 36ms (compile: 5ms, proxy.ts: 5ms, render: 26ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 4ms, proxy.ts: 6ms, render: 23ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 5ms, proxy.ts: 5ms, render: 23ms)
 GET /test-fire-scenarios 200 in 32ms (compile: 5ms, proxy.ts: 4ms, render: 23ms)
 GET /test-fire-scenarios 200 in 32ms (compile: 4ms, proxy.ts: 6ms, render: 22ms)
 GET /test-fire-scenarios 200 in 33ms (compile: 4ms, proxy.ts: 4ms, render: 24ms)
 GET /test-fire-scenarios 200 in 36ms (compile: 4ms, proxy.ts: 6ms, render: 25ms)
