▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.86.37:3000
- Environments: .env.local
- Experiments (use with caution):
  ⨯ turbopackFileSystemCacheForDev

✓ Starting...
✓ Ready in 1277ms
○ Compiling / ...
 GET /test-resilience-score 200 in 151ms (compile: 14ms, proxy.ts: 41ms, render: 96ms)
 GET /test-holding-edit-preservation 200 in 136ms (compile: 10ms, proxy.ts: 41ms, render: 86ms)
 GET /test-resilience-score 200 in 135ms (compile: 9ms, proxy.ts: 30ms, render: 96ms)
 GET /test-holding-edit-preservation 200 in 143ms (compile: 14ms, proxy.ts: 24ms, render: 104ms)
 GET /test-resilience-score 200 in 157ms (compile: 9ms, proxy.ts: 28ms, render: 120ms)
 GET /test-holding-edit-preservation 200 in 199ms (compile: 18ms, proxy.ts: 34ms, render: 148ms)
 GET /test-resilience-score 200 in 179ms (compile: 14ms, proxy.ts: 36ms, render: 128ms)
 GET /test-holding-edit-preservation 200 in 195ms (compile: 12ms, proxy.ts: 45ms, render: 138ms)
 GET /test-resilience-score 200 in 199ms (compile: 14ms, proxy.ts: 40ms, render: 145ms)
 GET /test-holding-edit-preservation 200 in 202ms (compile: 18ms, proxy.ts: 42ms, render: 141ms)
 GET /test-resilience-score 200 in 216ms (compile: 14ms, proxy.ts: 52ms, render: 150ms)
 GET /test-holding-edit-preservation 200 in 195ms (compile: 16ms, proxy.ts: 52ms, render: 128ms)
 GET /test-resilience-score 200 in 187ms (compile: 16ms, proxy.ts: 49ms, render: 121ms)
 GET /test-holding-edit-preservation 200 in 205ms (compile: 16ms, proxy.ts: 47ms, render: 142ms)
 GET /test-resilience-score 200 in 168ms (compile: 10ms, proxy.ts: 35ms, render: 123ms)
 GET /test-holding-edit-preservation 200 in 183ms (compile: 14ms, proxy.ts: 42ms, render: 126ms)
 GET /test-resilience-score 200 in 200ms (compile: 11ms, proxy.ts: 49ms, render: 140ms)
 GET /test-holding-edit-preservation 200 in 184ms (compile: 12ms, proxy.ts: 29ms, render: 143ms)
 GET /test-resilience-score 200 in 174ms (compile: 21ms, proxy.ts: 44ms, render: 109ms)
 GET /test-holding-edit-preservation 200 in 196ms (compile: 11ms, proxy.ts: 41ms, render: 144ms)
 GET /test-resilience-score 200 in 165ms (compile: 9ms, proxy.ts: 32ms, render: 124ms)
 GET /test-holding-edit-preservation 200 in 239ms (compile: 18ms, proxy.ts: 37ms, render: 185ms)
 GET /test-resilience-score 200 in 213ms (compile: 38ms, proxy.ts: 15ms, render: 161ms)
 GET /test-holding-edit-preservation 200 in 244ms (compile: 27ms, proxy.ts: 44ms, render: 173ms)
 GET /test-resilience-score 200 in 215ms (compile: 61ms, proxy.ts: 16ms, render: 138ms)
 GET /test-holding-edit-preservation 200 in 221ms (compile: 12ms, proxy.ts: 20ms, render: 189ms)
 GET /test-resilience-score 200 in 226ms (compile: 41ms, proxy.ts: 19ms, render: 166ms)
 GET /test-holding-edit-preservation 200 in 237ms (compile: 16ms, proxy.ts: 45ms, render: 176ms)
 GET /test-resilience-score 200 in 209ms (compile: 41ms, proxy.ts: 17ms, render: 151ms)
 GET /test-holding-edit-preservation 200 in 241ms (compile: 15ms, proxy.ts: 78ms, render: 149ms)
 GET /test-resilience-score 200 in 178ms (compile: 9ms, proxy.ts: 36ms, render: 134ms)
 GET /test-holding-edit-preservation 200 in 226ms (compile: 15ms, proxy.ts: 35ms, render: 176ms)
 GET /test-resilience-score 200 in 208ms (compile: 56ms, proxy.ts: 14ms, render: 139ms)
 GET /test-holding-edit-preservation 200 in 208ms (compile: 15ms, proxy.ts: 44ms, render: 149ms)
 GET /test-resilience-score 200 in 177ms (compile: 46ms, proxy.ts: 15ms, render: 116ms)
 GET /test-holding-edit-preservation 200 in 190ms (compile: 17ms, proxy.ts: 52ms, render: 122ms)
 GET /test-resilience-score 200 in 154ms (compile: 29ms, proxy.ts: 18ms, render: 107ms)
 GET /test-holding-edit-preservation 200 in 156ms (compile: 12ms, proxy.ts: 14ms, render: 130ms)
 GET /test-resilience-score 200 in 152ms (compile: 27ms, proxy.ts: 11ms, render: 114ms)
 GET /test-holding-edit-preservation 200 in 147ms (compile: 8ms, proxy.ts: 19ms, render: 121ms)
 GET /test-resilience-score 200 in 146ms (compile: 28ms, proxy.ts: 19ms, render: 99ms)
 GET /test-resilience-score 200 in 145ms (compile: 27ms, proxy.ts: 16ms, render: 102ms)
 GET /test-holding-edit-preservation 200 in 150ms (compile: 9ms, proxy.ts: 16ms, render: 125ms)
 GET /test-resilience-score 200 in 173ms (compile: 30ms, proxy.ts: 14ms, render: 130ms)
 GET /test-holding-edit-preservation 200 in 180ms (compile: 8ms, proxy.ts: 14ms, render: 158ms)
 GET /test-holding-edit-preservation 200 in 180ms (compile: 9ms, proxy.ts: 13ms, render: 158ms)
 GET /test-resilience-score 200 in 183ms (compile: 40ms, proxy.ts: 13ms, render: 130ms)
 GET /test-holding-edit-preservation 200 in 188ms (compile: 9ms, proxy.ts: 16ms, render: 164ms)
 GET /test-resilience-score 200 in 196ms (compile: 33ms, proxy.ts: 14ms, render: 149ms)
 GET /test-holding-edit-preservation 200 in 226ms (compile: 17ms, proxy.ts: 47ms, render: 162ms)
 GET /test-resilience-score 200 in 322ms (compile: 11ms, proxy.ts: 64ms, render: 247ms)
 GET /test-resilience-score 200 in 561ms (compile: 291ms, proxy.ts: 29ms, render: 241ms)
 GET /test-holding-edit-preservation 200 in 679ms (compile: 430ms, proxy.ts: 43ms, render: 207ms)
 GET /test-resilience-score 200 in 270ms (compile: 42ms, proxy.ts: 56ms, render: 172ms)
 GET /test-holding-edit-preservation 200 in 272ms (compile: 72ms, proxy.ts: 60ms, render: 140ms)
 GET /test-resilience-score 200 in 213ms (compile: 11ms, proxy.ts: 12ms, render: 189ms)
 GET /test-holding-edit-preservation 200 in 212ms (compile: 43ms, proxy.ts: 13ms, render: 156ms)
 GET /test-resilience-score 200 in 249ms (compile: 13ms, proxy.ts: 18ms, render: 217ms)
 GET /test-holding-edit-preservation 200 in 251ms (compile: 45ms, proxy.ts: 17ms, render: 190ms)
 GET /test-resilience-score 200 in 255ms (compile: 10ms, proxy.ts: 17ms, render: 229ms)
 GET /test-holding-edit-preservation 200 in 255ms (compile: 51ms, proxy.ts: 16ms, render: 188ms)
 GET /test-resilience-score 200 in 241ms (compile: 14ms, proxy.ts: 26ms, render: 201ms)
 GET /test-holding-edit-preservation 200 in 236ms (compile: 36ms, proxy.ts: 26ms, render: 175ms)
 GET /test-holding-edit-preservation 200 in 230ms (compile: 35ms, proxy.ts: 26ms, render: 169ms)
 GET /test-resilience-score 200 in 236ms (compile: 12ms, proxy.ts: 25ms, render: 199ms)
 GET /test-resilience-score 200 in 306ms (compile: 13ms, proxy.ts: 23ms, render: 270ms)
 GET /test-holding-edit-preservation 200 in 312ms (compile: 39ms, proxy.ts: 24ms, render: 249ms)
 GET /test-resilience-score 200 in 320ms (compile: 17ms, proxy.ts: 31ms, render: 272ms)
 GET /test-holding-edit-preservation 200 in 319ms (compile: 73ms, proxy.ts: 33ms, render: 213ms)
 GET /test-resilience-score 200 in 244ms (compile: 12ms, proxy.ts: 28ms, render: 204ms)
 GET /test-holding-edit-preservation 200 in 245ms (compile: 43ms, proxy.ts: 28ms, render: 173ms)
 GET /test-resilience-score 200 in 225ms (compile: 13ms, proxy.ts: 24ms, render: 188ms)
 GET /test-holding-edit-preservation 200 in 230ms (compile: 48ms, proxy.ts: 23ms, render: 160ms)
 GET /test-resilience-score 200 in 250ms (compile: 13ms, proxy.ts: 15ms, render: 221ms)
 GET /test-holding-edit-preservation 200 in 254ms (compile: 43ms, proxy.ts: 15ms, render: 196ms)
 GET /test-resilience-score 200 in 262ms (compile: 60ms, proxy.ts: 26ms, render: 176ms)
 GET /test-holding-edit-preservation 200 in 260ms (compile: 10ms, proxy.ts: 23ms, render: 226ms)
 GET /test-holding-edit-preservation 200 in 242ms (compile: 19ms, proxy.ts: 24ms, render: 199ms)
 GET /test-resilience-score 200 in 244ms (compile: 55ms, proxy.ts: 26ms, render: 163ms)
 GET /test-resilience-score 200 in 201ms (compile: 64ms, proxy.ts: 24ms, render: 113ms)
 GET /test-holding-edit-preservation 200 in 205ms (compile: 15ms, proxy.ts: 24ms, render: 166ms)
 GET /test-holding-edit-preservation 200 in 177ms (compile: 10ms, proxy.ts: 14ms, render: 153ms)
 GET /test-resilience-score 200 in 182ms (compile: 34ms, proxy.ts: 14ms, render: 134ms)
 GET /test-holding-edit-preservation 200 in 223ms (compile: 19ms, proxy.ts: 13ms, render: 191ms)
 GET /test-resilience-score 200 in 223ms (compile: 38ms, proxy.ts: 13ms, render: 172ms)
 GET /test-holding-edit-preservation 200 in 261ms (compile: 18ms, proxy.ts: 25ms, render: 218ms)
 GET /test-resilience-score 200 in 256ms (compile: 49ms, proxy.ts: 23ms, render: 184ms)
 GET /test-holding-edit-preservation 200 in 243ms (compile: 14ms, proxy.ts: 21ms, render: 207ms)
 GET /test-resilience-score 200 in 243ms (compile: 48ms, proxy.ts: 23ms, render: 171ms)
 GET /test-holding-edit-preservation 200 in 184ms (compile: 12ms, proxy.ts: 24ms, render: 148ms)
 GET /test-resilience-score 200 in 185ms (compile: 41ms, proxy.ts: 24ms, render: 119ms)
 GET /test-holding-edit-preservation 200 in 226ms (compile: 12ms, proxy.ts: 19ms, render: 196ms)
 GET /test-resilience-score 200 in 228ms (compile: 33ms, proxy.ts: 19ms, render: 175ms)
 GET /test-resilience-score 200 in 260ms (compile: 53ms, proxy.ts: 16ms, render: 191ms)
 GET /test-holding-edit-preservation 200 in 267ms (compile: 16ms, proxy.ts: 16ms, render: 235ms)
 GET /test-holding-edit-preservation 200 in 244ms (compile: 17ms, proxy.ts: 32ms, render: 195ms)
 GET /test-resilience-score 200 in 246ms (compile: 52ms, proxy.ts: 33ms, render: 160ms)
 GET /test-holding-edit-preservation 200 in 246ms (compile: 13ms, proxy.ts: 21ms, render: 212ms)
 GET /test-resilience-score 200 in 245ms (compile: 42ms, proxy.ts: 23ms, render: 181ms)
 GET /test-resilience-score 200 in 253ms (compile: 51ms, proxy.ts: 21ms, render: 180ms)
 GET /test-holding-edit-preservation 200 in 260ms (compile: 13ms, proxy.ts: 23ms, render: 224ms)
 GET /test-holding-edit-preservation 200 in 250ms (compile: 11ms, proxy.ts: 18ms, render: 222ms)
 GET /test-resilience-score 200 in 251ms (compile: 45ms, proxy.ts: 16ms, render: 190ms)
 GET /test-holding-edit-preservation 200 in 236ms (compile: 15ms, proxy.ts: 32ms, render: 189ms)
 GET /test-resilience-score 200 in 244ms (compile: 49ms, proxy.ts: 33ms, render: 163ms)
 GET /test-resilience-score 200 in 204ms (compile: 34ms, proxy.ts: 18ms, render: 152ms)
 GET /test-holding-edit-preservation 200 in 215ms (compile: 14ms, proxy.ts: 20ms, render: 181ms)
 GET /test-resilience-score 200 in 140ms (compile: 12ms, proxy.ts: 26ms, render: 103ms)
 GET /test-holding-edit-preservation 200 in 173ms (compile: 50ms, proxy.ts: 29ms, render: 94ms)
 GET /test-resilience-score 200 in 143ms (compile: 7ms, proxy.ts: 20ms, render: 116ms)
 GET /test-holding-edit-preservation 200 in 178ms (compile: 32ms, proxy.ts: 11ms, render: 136ms)
 GET /test-resilience-score 200 in 185ms (compile: 14ms, proxy.ts: 36ms, render: 136ms)
 GET /test-holding-edit-preservation 200 in 193ms (compile: 18ms, proxy.ts: 53ms, render: 123ms)
 GET /test-resilience-score 200 in 230ms (compile: 12ms, proxy.ts: 51ms, render: 167ms)
 GET /test-holding-edit-preservation 200 in 197ms (compile: 13ms, proxy.ts: 37ms, render: 148ms)
 GET /test-resilience-score 200 in 262ms (compile: 23ms, proxy.ts: 38ms, render: 202ms)
 GET /test-holding-edit-preservation 200 in 255ms (compile: 22ms, proxy.ts: 50ms, render: 183ms)
 GET /test-resilience-score 200 in 202ms (compile: 19ms, proxy.ts: 44ms, render: 140ms)
 GET /test-holding-edit-preservation 200 in 207ms (compile: 22ms, proxy.ts: 52ms, render: 133ms)
 GET /test-resilience-score 200 in 174ms (compile: 9ms, proxy.ts: 56ms, render: 109ms)
 GET /test-holding-edit-preservation 200 in 152ms (compile: 14ms, proxy.ts: 32ms, render: 106ms)
 GET /test-resilience-score 200 in 211ms (compile: 11ms, proxy.ts: 49ms, render: 151ms)
 GET /test-holding-edit-preservation 200 in 204ms (compile: 9ms, proxy.ts: 30ms, render: 165ms)
 GET /test-resilience-score 200 in 190ms (compile: 12ms, proxy.ts: 32ms, render: 147ms)
 GET /test-holding-edit-preservation 200 in 200ms (compile: 16ms, proxy.ts: 47ms, render: 137ms)
 GET /test-resilience-score 200 in 204ms (compile: 12ms, proxy.ts: 53ms, render: 139ms)
 GET /test-holding-edit-preservation 200 in 221ms (compile: 19ms, proxy.ts: 43ms, render: 158ms)
 GET /test-resilience-score 200 in 190ms (compile: 12ms, proxy.ts: 45ms, render: 133ms)
 GET /test-holding-edit-preservation 200 in 186ms (compile: 16ms, proxy.ts: 49ms, render: 122ms)
 GET /test-resilience-score 200 in 193ms (compile: 8ms, proxy.ts: 46ms, render: 139ms)
 GET /test-holding-edit-preservation 200 in 175ms (compile: 13ms, proxy.ts: 37ms, render: 125ms)
 GET /test-resilience-score 200 in 172ms (compile: 18ms, proxy.ts: 46ms, render: 108ms)
 GET /test-holding-edit-preservation 200 in 170ms (compile: 11ms, proxy.ts: 54ms, render: 105ms)
 GET /test-resilience-score 200 in 124ms (compile: 9ms, proxy.ts: 29ms, render: 86ms)
 GET /test-holding-edit-preservation 200 in 143ms (compile: 13ms, proxy.ts: 28ms, render: 102ms)
 GET /test-resilience-score 200 in 130ms (compile: 26ms, proxy.ts: 9ms, render: 94ms)
 GET /test-holding-edit-preservation 200 in 149ms (compile: 9ms, proxy.ts: 29ms, render: 111ms)
 GET /test-resilience-score 200 in 169ms (compile: 8ms, proxy.ts: 30ms, render: 131ms)
 GET /test-holding-edit-preservation 200 in 196ms (compile: 15ms, proxy.ts: 37ms, render: 144ms)
 GET /test-resilience-score 200 in 195ms (compile: 16ms, proxy.ts: 46ms, render: 133ms)
 GET /test-holding-edit-preservation 200 in 204ms (compile: 20ms, proxy.ts: 47ms, render: 137ms)
 GET /test-resilience-score 200 in 239ms (compile: 12ms, proxy.ts: 58ms, render: 169ms)
 GET /test-holding-edit-preservation 200 in 242ms (compile: 11ms, proxy.ts: 30ms, render: 201ms)
 GET /test-resilience-score 200 in 264ms (compile: 42ms, proxy.ts: 36ms, render: 186ms)
 GET /test-holding-edit-preservation 200 in 299ms (compile: 24ms, proxy.ts: 93ms, render: 182ms)
 GET /test-resilience-score 200 in 250ms (compile: 16ms, proxy.ts: 68ms, render: 166ms)
 GET /test-holding-edit-preservation 200 in 242ms (compile: 20ms, proxy.ts: 52ms, render: 171ms)
 GET /test-resilience-score 200 in 276ms (compile: 25ms, proxy.ts: 59ms, render: 191ms)
 GET /test-holding-edit-preservation 200 in 232ms (compile: 26ms, proxy.ts: 39ms, render: 167ms)
 GET /test-resilience-score 200 in 307ms (compile: 18ms, proxy.ts: 54ms, render: 235ms)
 GET /test-holding-edit-preservation 200 in 271ms (compile: 43ms, proxy.ts: 20ms, render: 208ms)
 GET /test-resilience-score 200 in 306ms (compile: 24ms, proxy.ts: 68ms, render: 214ms)
 GET /test-holding-edit-preservation 200 in 248ms (compile: 76ms, proxy.ts: 19ms, render: 152ms)
 GET /test-resilience-score 200 in 244ms (compile: 16ms, proxy.ts: 18ms, render: 210ms)
 GET /test-holding-edit-preservation 200 in 255ms (compile: 46ms, proxy.ts: 18ms, render: 191ms)
 GET /test-resilience-score 200 in 293ms (compile: 16ms, proxy.ts: 23ms, render: 254ms)
 GET /test-holding-edit-preservation 200 in 300ms (compile: 61ms, proxy.ts: 25ms, render: 214ms)
 GET /test-resilience-score 200 in 356ms (compile: 24ms, proxy.ts: 77ms, render: 255ms)
 GET /test-holding-edit-preservation 200 in 305ms (compile: 69ms, proxy.ts: 26ms, render: 210ms)
 GET /test-resilience-score 200 in 297ms (compile: 15ms, proxy.ts: 66ms, render: 216ms)
 GET /test-holding-edit-preservation 200 in 303ms (compile: 24ms, proxy.ts: 72ms, render: 207ms)
 GET /test-resilience-score 200 in 320ms (compile: 22ms, proxy.ts: 74ms, render: 225ms)
 GET /test-holding-edit-preservation 200 in 318ms (compile: 17ms, proxy.ts: 70ms, render: 231ms)
 GET /test-resilience-score 200 in 319ms (compile: 20ms, proxy.ts: 61ms, render: 238ms)
 GET /test-holding-edit-preservation 200 in 345ms (compile: 55ms, proxy.ts: 62ms, render: 227ms)
 GET /test-resilience-score 200 in 267ms (compile: 24ms, proxy.ts: 73ms, render: 170ms)
 GET /test-holding-edit-preservation 200 in 244ms (compile: 22ms, proxy.ts: 66ms, render: 156ms)
 GET /test-resilience-score 200 in 196ms (compile: 12ms, proxy.ts: 62ms, render: 123ms)
 GET /test-holding-edit-preservation 200 in 198ms (compile: 11ms, proxy.ts: 44ms, render: 143ms)
 GET /test-resilience-score 200 in 249ms (compile: 10ms, proxy.ts: 32ms, render: 207ms)
 GET /test-holding-edit-preservation 200 in 235ms (compile: 20ms, proxy.ts: 38ms, render: 177ms)
 GET /test-resilience-score 200 in 248ms (compile: 19ms, proxy.ts: 63ms, render: 166ms)
 GET /test-holding-edit-preservation 200 in 254ms (compile: 19ms, proxy.ts: 65ms, render: 169ms)
 GET /test-resilience-score 200 in 266ms (compile: 16ms, proxy.ts: 43ms, render: 207ms)
 GET /test-holding-edit-preservation 200 in 281ms (compile: 19ms, proxy.ts: 52ms, render: 210ms)
 GET /test-resilience-score 200 in 263ms (compile: 24ms, proxy.ts: 69ms, render: 169ms)
 GET /test-holding-edit-preservation 200 in 236ms (compile: 27ms, proxy.ts: 74ms, render: 135ms)
 GET /test-resilience-score 200 in 221ms (compile: 11ms, proxy.ts: 68ms, render: 143ms)
 GET /test-holding-edit-preservation 200 in 195ms (compile: 11ms, proxy.ts: 37ms, render: 146ms)
 GET /test-resilience-score 200 in 207ms (compile: 12ms, proxy.ts: 42ms, render: 153ms)
 GET /test-holding-edit-preservation 200 in 197ms (compile: 38ms, proxy.ts: 46ms, render: 114ms)
 GET /test-resilience-score 200 in 164ms (compile: 15ms, proxy.ts: 42ms, render: 108ms)
 GET /test-holding-edit-preservation 200 in 155ms (compile: 18ms, proxy.ts: 44ms, render: 93ms)
 GET /test-resilience-score 200 in 161ms (compile: 10ms, proxy.ts: 36ms, render: 115ms)
 GET /test-holding-edit-preservation 200 in 141ms (compile: 9ms, proxy.ts: 30ms, render: 103ms)
 GET /test-resilience-score 200 in 147ms (compile: 14ms, proxy.ts: 34ms, render: 99ms)
 GET /test-holding-edit-preservation 200 in 154ms (compile: 28ms, proxy.ts: 15ms, render: 111ms)
 GET /test-resilience-score 200 in 193ms (compile: 12ms, proxy.ts: 18ms, render: 163ms)
 GET /test-holding-edit-preservation 200 in 218ms (compile: 33ms, proxy.ts: 17ms, render: 168ms)
 GET /test-resilience-score 200 in 281ms (compile: 18ms, proxy.ts: 19ms, render: 244ms)
 GET /test-holding-edit-preservation 200 in 290ms (compile: 42ms, proxy.ts: 20ms, render: 229ms)
